FROM,TO,TRIPS
USF  Hosp  Busch,Clearwater,446.66
USF  Hosp  Busch,External,4389.83
USF  Hosp  Busch,Hernando Other,274.36
USF  Hosp  Busch,Hillsborough Other,53008.99
USF  Hosp  Busch,Manatee Spur,68.73
USF  Hosp  Busch,New Port Richey,210.55
USF  Hosp  Busch,Pasco Other,8160.84
USF  Hosp  Busch,Pinellas Beaches,189
USF  Hosp  Busch,Pinellas Other,1689.18
USF  Hosp  Busch,Plant City,289.9
USF  Hosp  Busch,Spring Hill,480.63
USF  Hosp  Busch,St Petersburg,1237.84
USF  Hosp  Busch,Tampa,31416.83
USF  Hosp  Busch,USF  Hosp  Busch,52733.92
