FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Homosassa Springs  SW Citrus,North Central Citrus,6391.95,210.06
Inverness and NE Citrus,North Central Citrus,12697.38,592.02
South East Citrus,North Central Citrus,2538.6,76.02
External,North Central Citrus,6402.66,3550.84
Lake Lindsey  N. Central Hernando,North Central Citrus,77.68,3.6
Richloam WMA and E Hernando,Crystal River and NW Citrus,4.42,0
Hillsborough  Manatee Spur,Homosassa Springs  SW Citrus,191.46,7.95
Pinellas,Homosassa Springs  SW Citrus,151.82,10.16
Pasco,Homosassa Springs  SW Citrus,856.61,39.77
Spring Hill and SW Hernando,Homosassa Springs  SW Citrus,1817.42,107.15
NW Hernando,Homosassa Springs  SW Citrus,907.3,27.92
Brooksville Area,Homosassa Springs  SW Citrus,229.21,13.55
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,160.27,52.62
Croom WMA  NE Hernando,Homosassa Springs  SW Citrus,52.71,1.16
Crystal River and NW Citrus,Homosassa Springs  SW Citrus,8555.54,565.49
North Central Citrus,Homosassa Springs  SW Citrus,6379.38,222.63
Homosassa Springs  SW Citrus,Homosassa Springs  SW Citrus,34964.94,2018.72
Inverness and NE Citrus,Homosassa Springs  SW Citrus,3018.78,160.76
South East Citrus,Homosassa Springs  SW Citrus,892.69,26.75
External,Homosassa Springs  SW Citrus,1178.82,1174.04
Richloam WMA and E Hernando,North Central Citrus,13.17,0
Hillsborough  Manatee Spur,Inverness and NE Citrus,47.08,3.11
Pinellas,Inverness and NE Citrus,33.38,1.35
Pasco,Inverness and NE Citrus,160.59,7.14
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,46.27,3.19
Spring Hill and SW Hernando,Inverness and NE Citrus,189.53,8.64
Brooksville Area,Inverness and NE Citrus,61.91,2.37
Croom WMA  NE Hernando,Inverness and NE Citrus,11.79,1.73
South Central Hernando,Inverness and NE Citrus,20.75,0.45
North Central Citrus,Inverness and NE Citrus,12760.57,528.83
Crystal River and NW Citrus,Inverness and NE Citrus,3089.83,92.36
Homosassa Springs  SW Citrus,Inverness and NE Citrus,3044.73,134.82
Inverness and NE Citrus,Inverness and NE Citrus,29683.54,1420.85
South East Citrus,Inverness and NE Citrus,6486.08,257.57
External,Inverness and NE Citrus,2428.14,1530.89
Richloam WMA and E Hernando,Inverness and NE Citrus,22.12,0
NW Hernando,Inverness and NE Citrus,44.27,0
South Central Hernando,Homosassa Springs  SW Citrus,120.47,4.71
Richloam WMA and E Hernando,Homosassa Springs  SW Citrus,12.16,3.63
Hillsborough  Manatee Spur,South East Citrus,65.62,6.66
Pasco,South East Citrus,172.62,12.58
Spring Hill and SW Hernando,South East Citrus,236.77,6.59
NW Hernando,South East Citrus,43.16,0
Brooksville Area,South East Citrus,243.03,7.02
Croom WMA  NE Hernando,South East Citrus,165.08,32.65
South Central Hernando,South East Citrus,30.06,0
Crystal River and NW Citrus,South East Citrus,1038.11,36.94
North Central Citrus,South East Citrus,2512.43,102.19
Homosassa Springs  SW Citrus,South East Citrus,887.53,31.92
Inverness and NE Citrus,South East Citrus,6514.76,228.88
South East Citrus,South East Citrus,7835.2,351.78
External,South East Citrus,1657.52,668.66
Pinellas,South East Citrus,41.92,4.07
Lake Lindsey  N. Central Hernando,South East Citrus,93.52,0
Richloam WMA and E Hernando,South East Citrus,27.78,0.99
NW Hernando,External,223.44,101.54
Spring Hill and SW Hernando,External,1644.44,1184.2
Lake Lindsey  N. Central Hernando,External,175.1,161.51
Brooksville Area,External,502.05,1099.25
Croom WMA  NE Hernando,External,417.17,289.84
South Central Hernando,External,370.03,258.12
Richloam WMA and E Hernando,External,758.12,521.56
Crystal River and NW Citrus,External,1798.48,2184.44
North Central Citrus,External,6402.66,3550.84
Homosassa Springs  SW Citrus,External,1178.82,1174.04
Inverness and NE Citrus,External,2428.14,1530.89
South East Citrus,External,1657.52,668.66
