FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Clearwater,Plant City,105.967442360066,18.1454516649246
St_Petersburg,Plant City,411.631675564742,36.0214514434338
Pasco Other,Plant City,1555.90814009076,100.87008599937
Manatee Spur,Plant City,53.1101170480251,6.81808829307556
External,Plant City,9033.78347021563,10197.114563305
Pinellas Other,Plant City,518.335021324921,43.820181787014
Pinellas_Beaches,Plant City,103.92631611228,57.9756458997727
Hernando Other,Plant City,117.242356779985,11.4760497510433
Spring_Hill,Plant City,112.067916228436,0
New_Port_Richey,Plant City,8.09394463896751,0.95150625705719
Citrus,Plant City,7.82522309571505,1.15852528810501
Hillsborough Other,Pinellas Other,41091.4315085408,1612.16810029745
Tampa,Pinellas Other,26024.6066257092,1480.25341024995
USF  Hosp  Busch,Pinellas Other,1591.33762880348,97.840240418911
Plant City,Pinellas Other,518.335016794968,43.8201813101769
Pinellas Other,Pinellas Other,1101386.00838573,34345.8656674624
Clearwater,Pinellas Other,155810.437886628,4378.03697372973
Pinellas_Beaches,Pinellas Other,45183.5810672052,5478.55656996369
St_Petersburg,Pinellas Other,175771.522871658,5078.67828276754
Pasco Other,Pinellas Other,43815.9940367099,1303.10547021031
New_Port_Richey,Pinellas Other,3307.19974617359,96.7110211551189
Hernando Other,Pinellas Other,874.651788911782,65.8032002151013
Spring_Hill,Pinellas Other,1510.56180643031,47.6940734982491
Citrus,Pinellas Other,218.040552804247,15.6561949551106
External,Pinellas Other,6821.38167422271,7576.47218407094
Manatee Spur,Pinellas Other,690.326490696811,61.9874573945999
Hillsborough Other,Pinellas_Beaches,3082.06224925676,466.23207950592
Tampa,Pinellas_Beaches,2686.83523397404,1284.67403072119
USF  Hosp  Busch,Pinellas_Beaches,101.344312842019,87.6575283408165
Plant City,Pinellas_Beaches,112.175965040922,49.7259969711304
Pinellas Other,Pinellas_Beaches,45206.8523864753,5455.28544488549
Pinellas_Beaches,Pinellas_Beaches,37402.5010267561,18933.2000563145
Clearwater,Pinellas_Beaches,10260.2896782632,1427.88486370444
St_Petersburg,Pinellas_Beaches,15604.9469297329,2057.50909927487
Pasco Other,Pinellas_Beaches,1573.32606901438,223.709928244352
New_Port_Richey,Pinellas_Beaches,121.775775924325,19.9736992716789
Hernando Other,Pinellas_Beaches,83.7177836782794,23.8185802102089
Spring_Hill,Pinellas_Beaches,123.735858470202,27.9921453893185
Citrus,Pinellas_Beaches,29.8908220231533,7.23709779977799
Manatee Spur,Pinellas_Beaches,37.7951686382294,11.5861826837063
External,Pinellas_Beaches,745.938433976902,3458.32492623827
Hillsborough Other,Clearwater,10474.0719851044,454.395393103361
Tampa,Clearwater,7283.02354361888,506.977430611849
USF  Hosp  Busch,Clearwater,412.871309459209,33.78576618433
Pinellas Other,Clearwater,155775.68935878,4412.78542216122
Pinellas_Beaches,Clearwater,10053.0263067603,1635.14820984006
Clearwater,Clearwater,226012.974550053,7600.49343442917
St_Petersburg,Clearwater,12588.9819480374,303.522133916616
Pasco Other,Clearwater,7262.50821136017,265.465236157179
New_Port_Richey,Clearwater,615.729995474219,6.85303807258606
Hernando Other,Clearwater,271.166399294569,18.067529052496
Spring_Hill,Clearwater,310.284639298916,8.96484768390656
Citrus,Clearwater,50.1825319757772,2.47272568941116
Manatee Spur,Clearwater,58.3645154237747,19.975353717804
External,Clearwater,1624.67091664462,1836.59334098613
Plant City,Clearwater,106.969011988782,17.1438833475113
Hillsborough Other,St_Petersburg,19737.4131999862,771.373849526048
Tampa,St_Petersburg,24222.5688214835,1733.37970885634
USF  Hosp  Busch,St_Petersburg,1152.2629777756,85.5800902843475
Plant City,St_Petersburg,411.631676637626,36.0214514434338
Pinellas Other,St_Petersburg,175662.159842046,5188.04151684046
Clearwater,St_Petersburg,12588.3542473207,304.149893969297
Pinellas_Beaches,St_Petersburg,15507.948496292,2154.50760623813
St_Petersburg,St_Petersburg,622477.223525561,20665.1684862375
Pasco Other,St_Petersburg,6213.76894827554,174.009893447161
Hernando Other,St_Petersburg,213.558524700406,8.54853856563568
Citrus,St_Petersburg,75.9099930524826,4.63428288698196
External,St_Petersburg,5391.09415750243,7103.03556973266
New_Port_Richey,St_Petersburg,321.161047184927,7.71223002672195
Spring_Hill,St_Petersburg,372.622305259109,2.79873287677765
Manatee Spur,St_Petersburg,992.095633625984,212.216547340155
Hillsborough Other,Pasco Other,74753.782250395,2359.41986346245
Tampa,Pasco Other,43360.7040833835,1538.23264545202
Pinellas Other,Pasco Other,43862.8175040478,1256.28194737434
Clearwater,Pasco Other,7278.26240961332,249.711028009653
Pinellas_Beaches,Pasco Other,1570.29476548941,226.741239637137
St_Petersburg,Pasco Other,6221.28871603677,166.490101069212
Pasco Other,Pasco Other,935984.341439308,28295.4839290381
New_Port_Richey,Pasco Other,38564.4931193991,924.356555879116
Hernando Other,Pasco Other,19400.6179071028,723.12934987247
Spring_Hill,Pasco Other,23472.3453104039,588.301502496004
Citrus,Pasco Other,1587.63257577625,79.7765036225319
External,Pasco Other,9482.1971138768,7413.09977654449
USF  Hosp  Busch,Pasco Other,7908.71611264654,252.122065484524
Plant City,Pasco Other,1562.78560893005,93.9926308244467
Manatee Spur,Pasco Other,98.1200212687254,15.0159485638142
Hillsborough Other,New_Port_Richey,1342.38105090032,51.4426405727863
Tampa,New_Port_Richey,481.887009978294,33.6689396500588
USF  Hosp  Busch,New_Port_Richey,206.668787658215,3.88487082719803
Plant City,New_Port_Richey,8.09394463896751,0.95150625705719
Pinellas Other,New_Port_Richey,3327.08731723666,76.8234475553036
Clearwater,New_Port_Richey,613.402736350894,9.18030035495758
Pinellas_Beaches,New_Port_Richey,123.477341786027,18.2721356153488
St_Petersburg,New_Port_Richey,321.161050522787,7.71223002672195
Pasco Other,New_Port_Richey,38554.037907304,934.811646163464
New_Port_Richey,New_Port_Richey,24381.1370191574,611.035020887852
Hernando Other,New_Port_Richey,416.36400465644,18.8048566877842
Spring_Hill,New_Port_Richey,902.232543050719,9.34715181589127
External,New_Port_Richey,280.968891104494,265.123734495777
Citrus,New_Port_Richey,75.8114468455315,6.37113565206528
Manatee Spur,New_Port_Richey,3.87132966518402,0
Hillsborough Other,Hernando Other,3088.3819103681,116.028068095446
Pinellas Other,Hernando Other,874.651798791252,65.8031999468803
St_Petersburg,Hernando Other,213.558524163964,8.54853856563568
Pasco Other,Hernando Other,19394.8932430704,728.854079440236
New_Port_Richey,Hernando Other,412.395212098956,22.7736520469189
Hernando Other,Hernando Other,123580.72057111,4568.48496490717
Spring_Hill,Hernando Other,45946.2558097352,1432.16515088081
Citrus,Hernando Other,4298.04216861192,268.399908199906
External,Hernando Other,2747.04520086724,2781.16237974158
Tampa,Hernando Other,1615.67486907705,107.814192891121
USF  Hosp  Busch,Hernando Other,264.073626935482,10.283959031105
Clearwater,Hernando Other,271.166399860813,18.067529052496
Pinellas_Beaches,Hernando Other,86.2851610071521,21.2512020468712
Plant City,Hernando Other,117.242355528288,11.4760499894619
Manatee Spur,Hernando Other,6.28749823570252,0.536276400089264
Hillsborough Other,Spring_Hill,3752.02605733255,77.8785066306591
Tampa,Spring_Hill,2626.85435176652,113.123657256365
USF  Hosp  Busch,Spring_Hill,470.404022976756,10.2300627231598
Pinellas Other,Spring_Hill,1512.71212701962,45.5437386631966
Pinellas_Beaches,Spring_Hill,120.756711989641,30.9712913930416
Clearwater,Spring_Hill,310.284638658166,8.96484762430191
St_Petersburg,Spring_Hill,372.622301504016,2.79873287677765
Pasco Other,Spring_Hill,23522.365533689,538.281284242869
New_Port_Richey,Spring_Hill,900.163743197394,11.4159568548203
Hernando Other,Spring_Hill,46022.5637538949,1355.85739380121
Spring_Hill,Spring_Hill,136447.913041264,3300.13862890005
Citrus,Spring_Hill,1781.93056340332,78.4307303577662
External,Spring_Hill,1343.3045167102,834.857297314113
Plant City,Spring_Hill,112.067917658947,0
Manatee Spur,Spring_Hill,4.82928484678268,0
Hillsborough Other,Citrus,270.704000738551,11.8262523710728
Tampa,Citrus,167.833189496538,12.7453131377697
Pinellas_Beaches,Citrus,29.8908221125603,7.23709785938263
St_Petersburg,Citrus,75.9099931120873,4.63428288698196
Pasco Other,Citrus,1587.220647957,80.1884259283543
Hernando Other,Citrus,4279.25183999006,287.190257266164
Citrus,Citrus,270691.758300149,14351.6784578562
External,Citrus,13465.6205358282,9108.87520230014
Pinellas Other,Citrus,218.040553459898,15.6561948955059
Spring_Hill,Citrus,1779.2998102438,81.0614831000567
Clearwater,Citrus,50.1825321546057,2.47272568941116
USF  Hosp  Busch,Citrus,25.7130128666759,4.95897981524468
Plant City,Citrus,7.82522309571505,1.15852516889572
New_Port_Richey,Citrus,75.811446249485,6.37113577127457
