FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Citrus,Pasco East,127.465470850468,10.0926993191242
External,Pasco East,2628.12149624678,1759.81146717034
Hillsborough  Manatee Spur,San Antonio,668.386846489972,70.0916528105736
Pinellas,San Antonio,114.91379019618,16.32192248106
New Port Richey,San Antonio,40.9565128684044,6.87478244304657
E New Port Richey,San Antonio,23.7291443347931,0
Pasco West,San Antonio,88.6890125870705,12.9270260930061
Pasco Central,San Antonio,410.605456411839,2.5094997882843
I-75  SR 52,San Antonio,305.663718402386,13.4300212860107
Pasco East,San Antonio,2027.83273033798,93.248821079731
San Antonio,San Antonio,2458.80437293649,122.561077833176
Seven Springs  Odessa,San Antonio,8.7550539970398,0.578420281410217
Land O Lakes  Connerton,San Antonio,65.7565045058727,3.15284109115601
Wesley Chapel  I-75 - SR56,San Antonio,405.847608923912,35.5735712349415
Zephyrhills,San Antonio,587.225186020136,11.1416130661964
Lacoochie Ind Area,San Antonio,6.04438090324402,0
Dade City,San Antonio,1495.17239207029,27.6447689533234
Hernando,San Antonio,315.096596233547,18.0520761311054
Citrus,San Antonio,23.3614154458046,4.30844587087631
External,San Antonio,172.55529937688,335.759288972273
I-75  SR 52,E New Port Richey,12.1182415485382,0
Hillsborough  Manatee Spur,Suncoast  SR 54,6421.99749631364,210.988529413939
Pinellas,Suncoast  SR 54,904.532191939652,51.0321632027626
New Port Richey,Suncoast  SR 54,353.667735050498,9.86192589998245
Pasco West,Suncoast  SR 54,564.370501801372,12.5212964117527
Pasco Central,Suncoast  SR 54,3813.38771869987,77.2739686369896
E New Port Richey,Suncoast  SR 54,36.3832457959652,2.59721410274506
Seven Springs  Odessa,Suncoast  SR 54,794.842496454716,41.702928006649
Hernando,Suncoast  SR 54,402.175507297681,10.0265606641769
Citrus,Suncoast  SR 54,16.5917409507674,1.12665557861328
Dade City,Seven Springs  Odessa,5.46386480331421,0.975398242473602
NW Pasco,Suncoast  SR 54,24.3113797307015,2.95694845914841
Land O Lakes  Connerton,Suncoast  SR 54,1779.40715944767,32.5634897351265
Suncoast  SR 54,Suncoast  SR 54,5542.28411179781,176.676845788956
Pasco East,Suncoast  SR 54,584.245273457724,18.6351642906666
Zephyrhills,Suncoast  SR 54,60.90335932374,0
Wesley Chapel  I-75 - SR56,Suncoast  SR 54,312.165165632963,15.8002669811249
Dade City,Suncoast  SR 54,8.54963853955269,0
External,Suncoast  SR 54,185.933439599015,255.134393014072
San Antonio,Suncoast  SR 54,5.19460007548332,0.895816326141357
I-75  SR 52,Suncoast  SR 54,62.5436008572579,0
Hudson,Suncoast  SR 54,12.5163295865059,1.99551570415497
Lacoochie Ind Area,Suncoast  SR 54,0.999107658863068,0
Lacoochie Ind Area,Seven Springs  Odessa,0.579556822776794,0
Hudson,San Antonio,3.42266798019409,0
Suncoast  SR 54,San Antonio,5.1946003139019,0.895816326141357
NW Pasco,San Antonio,13.1219434738159,0
Hillsborough  Manatee Spur,Wesley Chapel  I-75 - SR56,21249.4992619063,950.694285869598
Pinellas,Wesley Chapel  I-75 - SR56,1227.21265568468,134.759497463703
Pasco West,Wesley Chapel  I-75 - SR56,551.298714845674,24.6624408662319
Hudson,Wesley Chapel  I-75 - SR56,30.3501532673836,1.55462121963501
New Port Richey,Wesley Chapel  I-75 - SR56,197.735800844617,8.30764406919479
Pasco Central,Wesley Chapel  I-75 - SR56,4547.29703106592,136.986559331417
Land O Lakes  Connerton,Wesley Chapel  I-75 - SR56,1653.77841272508,100.198111176491
I-75  SR 52,Wesley Chapel  I-75 - SR56,1422.92755610682,64.8512302041054
Pasco East,Wesley Chapel  I-75 - SR56,19822.0256240992,577.633330643177
Seven Springs  Odessa,Wesley Chapel  I-75 - SR56,186.617333158851,13.8415271937847
Suncoast  SR 54,Wesley Chapel  I-75 - SR56,314.810733705759,13.1546987295151
San Antonio,Wesley Chapel  I-75 - SR56,405.848343372345,35.5728499591351
Wesley Chapel  I-75 - SR56,Wesley Chapel  I-75 - SR56,30934.8452294469,1870.66724699736
Zephyrhills,Wesley Chapel  I-75 - SR56,2177.4926563692,62.174381673336
Lacoochie Ind Area,Wesley Chapel  I-75 - SR56,21.8969349861145,0
Dade City,Wesley Chapel  I-75 - SR56,682.349561030802,20.0797502994537
Hernando,Wesley Chapel  I-75 - SR56,900.932243224233,46.0136650204659
Citrus,Wesley Chapel  I-75 - SR56,36.385903634131,2.46554577350616
External,Wesley Chapel  I-75 - SR56,691.994146468584,1051.19529945048
NW Pasco,Wesley Chapel  I-75 - SR56,67.285915851593,4.91665601730347
E New Port Richey,Wesley Chapel  I-75 - SR56,17.4551064670086,0
Hillsborough  Manatee Spur,Zephyrhills,5573.74028739093,229.943602710962
Pinellas,Zephyrhills,577.771769783227,31.9176625609398
Hudson,Zephyrhills,8.97139310836792,1.40523970127106
Pasco West,Zephyrhills,141.408869951963,6.82599949836731
Land O Lakes  Connerton,Zephyrhills,145.47499936074,5.00186198949814
Pasco Central,Zephyrhills,559.853461488761,10.0907888412476
I-75  SR 52,Zephyrhills,248.037046313286,10.9357112944126
Pasco East,Zephyrhills,25131.479874725,649.466755926609
San Antonio,Zephyrhills,582.289142876864,16.0776532292366
Wesley Chapel  I-75 - SR56,Zephyrhills,2183.47789909362,56.1891484260559
Zephyrhills,Zephyrhills,45951.7095125914,1455.60381555557
Lacoochie Ind Area,Zephyrhills,86.543450370431,0
Dade City,Zephyrhills,3062.25741569698,108.281395196915
Hernando,Zephyrhills,719.610596433282,20.2333406209946
External,Zephyrhills,1474.57874719211,880.883392269723
New Port Richey,Zephyrhills,56.876296132803,3.2189040184021
NW Pasco,Zephyrhills,26.9614719748497,0
Suncoast  SR 54,Zephyrhills,60.90335765481,0
Citrus,Zephyrhills,67.0597043335438,0.443189978599548
E New Port Richey,Zephyrhills,13.2417749613523,0
Hillsborough  Manatee Spur,Lacoochie Ind Area,86.0956364609301,2.25865936279297
Pinellas,Lacoochie Ind Area,8.55283364653587,0
Pasco West,Lacoochie Ind Area,9.84273910522461,0
New Port Richey,Lacoochie Ind Area,2.72945785522461,0
Land O Lakes  Connerton,Lacoochie Ind Area,7.70601749420166,0
Pasco Central,Lacoochie Ind Area,8.23818385601044,0
Pasco East,Lacoochie Ind Area,787.01572561264,1.15771758556366
San Antonio,Lacoochie Ind Area,6.04438090324402,0
Suncoast  SR 54,Lacoochie Ind Area,0.999107778072357,0
Seven Springs  Odessa,Lacoochie Ind Area,0.579556822776794,0
Wesley Chapel  I-75 - SR56,Lacoochie Ind Area,21.8969354629517,0
Zephyrhills,Lacoochie Ind Area,86.5434479862452,0
Lacoochie Ind Area,Lacoochie Ind Area,340.953155517578,2.75913023948669
Dade City,Lacoochie Ind Area,485.88621377945,4.53252100944519
Hernando,Lacoochie Ind Area,331.645004078746,0
Citrus,Lacoochie Ind Area,1.79463982582092,0
External,Lacoochie Ind Area,31.4934868777636,21.1789143579081
Hillsborough  Manatee Spur,Dade City,1748.7114078787,56.6561332941055
Pinellas,Dade City,188.060232985765,9.50952768325806
NW Pasco,Dade City,56.3930541276932,0
Pasco West,Dade City,104.524290710688,10.8585033416748
New Port Richey,Dade City,122.432320863009,1.33553171157837
Pasco Central,Dade City,474.020997047424,6.72532963752747
I-75  SR 52,Dade City,271.990332007408,0
Pasco East,Dade City,14023.7751020858,428.228772103787
San Antonio,Dade City,1502.50872260332,20.3083939552307
E New Port Richey,Dade City,33.3232037872076,0
Suncoast  SR 54,Dade City,8.5496384203434,0
Wesley Chapel  I-75 - SR56,Dade City,683.021962608036,19.4073444604874
Land O Lakes  Connerton,Dade City,149.353731824973,2.31091809272766
Zephyrhills,Dade City,3067.0061699599,103.53262835741
Lacoochie Ind Area,Dade City,487.480720043182,2.93801736831665
Dade City,Dade City,24811.4372365475,602.836887180805
Hernando,Dade City,1885.37620414794,63.7595179229975
Citrus,Dade City,37.2741874754429,10.7879259288311
External,Dade City,658.011992751024,441.861997682194
Seven Springs  Odessa,Dade City,5.46386480331421,0.975398242473602
Hudson,Dade City,21.4964035749435,0
Seven Springs  Odessa,Zephyrhills,28.7646958529949,0.724024832248688
Pasco West,Hernando,6422.76496760635,209.857398062944
Hudson,Hernando,1657.47718967928,35.7530452013016
New Port Richey,Hernando,3612.77988626581,69.2188993692398
Pasco Central,Hernando,16634.0706642465,415.101453900337
Wesley Chapel  I-75 - SR56,Hernando,902.547341582365,44.3985558748245
Land O Lakes  Connerton,Hernando,1592.9283115156,66.0948843359947
Pasco East,Hernando,4468.86039368482,238.951028466225
NW Pasco,Hernando,3387.56626890076,84.0631049275398
Seven Springs  Odessa,Hernando,955.338262815494,22.4347721338272
Suncoast  SR 54,Hernando,405.307371130155,6.89469546079636
Dade City,Hernando,1893.76279835403,55.3729161769152
E New Port Richey,Hernando,527.67955992627,9.62507915496826
I-75  SR 52,Hernando,400.855528771877,6.80070078372955
San Antonio,Hernando,321.900659255683,11.2480100691319
Lacoochie Ind Area,Hernando,326.820552036166,4.8244616985321
Zephyrhills,Hernando,719.157976284623,20.6859669685364
Seven Springs  Odessa,Citrus,50.6631579846144,0.593429565429688
Pasco West,Citrus,461.31918958202,22.5796289741993
New Port Richey,Citrus,214.997460544109,13.5652897953987
Pasco Central,Citrus,332.574919775128,15.0227132439613
Pasco East,Citrus,127.465469956398,10.0926992893219
Wesley Chapel  I-75 - SR56,Citrus,36.3859036937356,2.46554577350616
I-75  SR 52,Citrus,15.9859384298325,0
Suncoast  SR 54,Citrus,16.5917409507674,1.12665557861328
Zephyrhills,Citrus,67.0597042143345,0.443189978599548
Dade City,Citrus,37.2741877138615,10.7879259288311
NW Pasco,Citrus,108.802881792188,3.75529801845551
Hudson,Citrus,101.70885387063,1.33055129647255
Land O Lakes  Connerton,Citrus,50.0326014310122,1.06843543052673
San Antonio,Citrus,23.9416642785072,3.72819882631302
E New Port Richey,Citrus,16.4337804019451,0
Lacoochie Ind Area,Citrus,1.79463958740234,0
NW Pasco,External,100.182030244148,78.8355731025513
Pasco West,External,1129.62856101275,847.194452567739
Hudson,External,73.999354301719,75.0229616496363
New Port Richey,External,706.236549774054,516.06671946212
E New Port Richey,External,35.0777540730778,23.4583856217796
Seven Springs  Odessa,External,342.637554851404,343.519950288552
Pasco Central,External,1117.16299462059,684.860784312885
Land O Lakes  Connerton,External,288.867288783338,253.961492754606
I-75  SR 52,External,126.685308808053,109.478438363411
Pasco East,External,2628.12149624678,1759.81146717034
Suncoast  SR 54,External,185.933439599015,255.134393014072
San Antonio,External,172.55529937688,335.759288972273
Wesley Chapel  I-75 - SR56,External,691.994146468584,1051.19529945048
Zephyrhills,External,1474.57874719211,880.883392269723
Lacoochie Ind Area,External,31.4934868777636,21.1789143579081
Dade City,External,658.011992751024,441.861997682194
