FROM,TO,TRIPS
New Port Richey,Citrus,228.56
New Port Richey,Dade City,123.77
New Port Richey,E New Port Richey,2785.07
New Port Richey,External,1222.3
New Port Richey,Hernando,3682
New Port Richey,Hillsborough  Manatee Spur,5352.95
New Port Richey,Hudson,2056.75
New Port Richey,I-75  SR 52,67.26
New Port Richey,Lacoochie Ind Area,2.73
New Port Richey,Land O Lakes  Connerton,605.51
New Port Richey,NW Pasco,1084.43
New Port Richey,New Port Richey,95703.58
New Port Richey,Pasco Central,8010.63
New Port Richey,Pasco East,451.62
New Port Richey,Pasco West,45384.99
New Port Richey,Pinellas,10230.69
New Port Richey,San Antonio,47.83
New Port Richey,Seven Springs  Odessa,6982.08
New Port Richey,Suncoast  SR 54,363.53
New Port Richey,Wesley Chapel  I-75 - SR56,206.04
New Port Richey,Zephyrhills,60.1
Pasco Central,Citrus,347.6
Pasco Central,Dade City,480.75
Pasco Central,E New Port Richey,3117.03
Pasco Central,External,1802.02
Pasco Central,Hernando,17049.17
Pasco Central,Hillsborough  Manatee Spur,21113.93
Pasco Central,Hudson,3036.23
Pasco Central,I-75  SR 52,2137.56
Pasco Central,Lacoochie Ind Area,8.24
Pasco Central,Land O Lakes  Connerton,12501.51
Pasco Central,NW Pasco,1786.9
Pasco Central,New Port Richey,8010.63
Pasco Central,Pasco Central,59105.32
Pasco Central,Pasco East,5505.39
Pasco Central,Pasco West,18180.61
Pasco Central,Pinellas,5516.27
Pasco Central,San Antonio,413.11
Pasco Central,Seven Springs  Odessa,4820.7
Pasco Central,Suncoast  SR 54,3890.66
Pasco Central,Wesley Chapel  I-75 - SR56,4684.28
Pasco Central,Zephyrhills,569.94
Pasco East,Citrus,137.56
Pasco East,Dade City,14452
Pasco East,E New Port Richey,101.56
Pasco East,External,4387.93
Pasco East,Hernando,4707.81
Pasco East,Hillsborough  Manatee Spur,30350.5
Pasco East,Hudson,139.04
Pasco East,I-75  SR 52,2777.15
Pasco East,Lacoochie Ind Area,788.17
Pasco East,Land O Lakes  Connerton,5254.8
Pasco East,NW Pasco,129
Pasco East,New Port Richey,451.62
Pasco East,Pasco Central,5505.39
Pasco East,Pasco East,69681.11
Pasco East,Pasco West,844.26
Pasco East,Pinellas,2329.77
Pasco East,San Antonio,2121.08
Pasco East,Seven Springs  Odessa,320.73
Pasco East,Suncoast  SR 54,602.88
Pasco East,Wesley Chapel  I-75 - SR56,20399.66
Pasco East,Zephyrhills,25780.95
Pasco West,Citrus,483.9
Pasco West,Dade City,115.38
Pasco West,E New Port Richey,3640.78
Pasco West,External,1976.82
Pasco West,Hernando,6632.62
Pasco West,Hillsborough  Manatee Spur,11694.76
Pasco West,Hudson,12054.74
Pasco West,I-75  SR 52,147.87
Pasco West,Lacoochie Ind Area,9.84
Pasco West,Land O Lakes  Connerton,1023.88
Pasco West,NW Pasco,4101.69
Pasco West,New Port Richey,45384.99
Pasco West,Pasco Central,18180.61
Pasco West,Pasco East,844.26
Pasco West,Pasco West,139714.51
Pasco West,Pinellas,29995.02
Pasco West,San Antonio,101.62
Pasco West,Seven Springs  Odessa,17064.33
Pasco West,Suncoast  SR 54,576.89
Pasco West,Wesley Chapel  I-75 - SR56,575.96
Pasco West,Zephyrhills,148.23
Pinellas,Citrus,0
Pinellas,Dade City,197.57
Pinellas,E New Port Richey,657.77
Pinellas,External,0
Pinellas,Hernando,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Hudson,610.26
Pinellas,I-75  SR 52,195.3
Pinellas,Lacoochie Ind Area,8.55
Pinellas,Land O Lakes  Connerton,1102.6
Pinellas,NW Pasco,469.06
Pinellas,New Port Richey,10230.69
Pinellas,Pasco Central,5516.27
Pinellas,Pasco East,2329.77
Pinellas,Pasco West,29995.02
Pinellas,Pinellas,0
Pinellas,San Antonio,131.24
Pinellas,Seven Springs  Odessa,10957.69
Pinellas,Suncoast  SR 54,955.56
Pinellas,Wesley Chapel  I-75 - SR56,1361.97
Pinellas,Zephyrhills,609.69
San Antonio,Citrus,27.67
San Antonio,Dade City,1522.82
San Antonio,E New Port Richey,23.73
San Antonio,External,508.31
San Antonio,Hernando,333.15
San Antonio,Hillsborough  Manatee Spur,738.48
San Antonio,Hudson,3.42
San Antonio,I-75  SR 52,319.09
San Antonio,Lacoochie Ind Area,6.04
San Antonio,Land O Lakes  Connerton,68.91
San Antonio,NW Pasco,13.12
San Antonio,New Port Richey,47.83
San Antonio,Pasco Central,413.11
San Antonio,Pasco East,2121.08
San Antonio,Pasco West,101.62
San Antonio,Pinellas,131.24
San Antonio,San Antonio,2581.37
