FROM,TO,PASSIVE,SURVEY
Hillsborough Other,New Port Richey,1342.38,375.55
Hillsborough Other,Pasco Other,74753.78,86451.75
Hillsborough Other,Pinellas Beaches,3082.06,7868.98
Hillsborough Other,Pinellas Other,41091.43,71736.41
Hillsborough Other,Plant City,42552.52,23342.98
Hillsborough Other,Spring Hill,3752.03,1745.35
Hillsborough Other,St Petersburg,19737.41,22798.36
Hillsborough Other,Tampa,340869.56,425630.07
Hillsborough Other,USF  Hosp  Busch,50988.16,76172.83
Manatee Spur,Citrus,3.91,0
Manatee Spur,Clearwater,58.36,0
Manatee Spur,External,6996.13,0
Manatee Spur,Hernando Other,6.29,0
Manatee Spur,Hillsborough Other,2096.55,520.74
Manatee Spur,Manatee Spur,4231.91,306.3
Manatee Spur,New Port Richey,3.87,0
Manatee Spur,Pasco Other,98.12,0
Manatee Spur,Pinellas Beaches,37.8,0
Manatee Spur,Pinellas Other,690.33,0
Manatee Spur,Plant City,53.11,0
Manatee Spur,Spring Hill,4.83,0
Manatee Spur,St Petersburg,992.1,0
Manatee Spur,Tampa,382.86,153.15
Manatee Spur,USF  Hosp  Busch,63.16,0
New Port Richey,Citrus,75.81,0
New Port Richey,Clearwater,615.73,484.64
New Port Richey,External,280.97,0
New Port Richey,Hernando Other,412.4,0
New Port Richey,Hillsborough Other,1338.99,1008.08
New Port Richey,Manatee Spur,3.87,0
New Port Richey,New Port Richey,24381.14,21512.05
New Port Richey,Pasco Other,38564.49,42313.72
New Port Richey,Pinellas Beaches,121.78,0
New Port Richey,Pinellas Other,3307.2,18010.5
New Port Richey,Plant City,8.09,0
New Port Richey,Spring Hill,900.16,39.53
New Port Richey,St Petersburg,321.16,0
New Port Richey,Tampa,482.39,1960.31
New Port Richey,USF  Hosp  Busch,206.76,1824.43
Pasco Other,Citrus,1587.22,2455.25
Pasco Other,Clearwater,7262.51,18800.01
Pasco Other,External,9482.2,5970.97
Pasco Other,Hernando Other,19394.89,17924.59
Pasco Other,Hillsborough Other,74873.53,93797.91
Pasco Other,Manatee Spur,98.12,0
Pasco Other,New Port Richey,38554.04,39009.22
Pasco Other,Pasco Other,935984.34,1478330.55
Pasco Other,Pinellas Beaches,1573.33,4043.71
Pasco Other,Pinellas Other,43815.99,63520.85
Pasco Other,Plant City,1555.91,3458.14
Pasco Other,Spring Hill,23522.37,24045.62
Pasco Other,St Petersburg,6213.77,1083.51
Pasco Other,Tampa,43303.28,76272.53
Pasco Other,USF  Hosp  Busch,7910.59,7297.46
Pinellas Beaches,Citrus,29.89,0
Pinellas Beaches,Clearwater,10053.03,1804.23
Pinellas Beaches,External,745.94,511.82
Pinellas Beaches,Hernando Other,86.29,0
Pinellas Beaches,Hillsborough Other,3103.5,7227.22
Pinellas Beaches,Manatee Spur,35.74,546.64
Pinellas Beaches,New Port Richey,123.48,0
Pinellas Beaches,Pasco Other,1570.29,2349.04
Pinellas Beaches,Pinellas Beaches,37402.5,22513.2
Pinellas Beaches,Pinellas Other,45183.58,35197.32
Pinellas Beaches,Plant City,103.93,0
Pinellas Beaches,Spring Hill,120.76,0
Pinellas Beaches,St Petersburg,15507.95,7148.23
Pinellas Beaches,Tampa,2601.23,3042.63
Pinellas Beaches,USF  Hosp  Busch,106.4,0
Pinellas Other,Citrus,218.04,0
Pinellas Other,Clearwater,155775.69,201201.12
Pinellas Other,External,6821.38,16206.98
Pinellas Other,Hernando Other,874.65,216.77
Pinellas Other,Hillsborough Other,41044.58,93185.61
Pinellas Other,Manatee Spur,683.76,0
Pinellas Other,New Port Richey,3327.09,8313.93
Pinellas Other,Pasco Other,43862.82,77763.78
Pinellas Other,Pinellas Beaches,45206.85,37143.01
Pinellas Other,Pinellas Other,1101386.01,1515385.37
Pinellas Other,Plant City,518.34,8.17
Pinellas Other,Spring Hill,1512.71,189.72
Pinellas Other,St Petersburg,175662.16,196751.11
Pinellas Other,Tampa,25834.86,33294.42
Pinellas Other,USF  Hosp  Busch,1593.57,6257.08
Plant City,Citrus,7.83,0
Plant City,Clearwater,106.97,0
Plant City,External,9033.78,5493.47
Plant City,Hernando Other,117.24,0
Plant City,Hillsborough Other,42659.34,23427.16
Plant City,Manatee Spur,53.11,0
Plant City,New Port Richey,8.09,0
Plant City,Pasco Other,1562.79,2422.22
Plant City,Pinellas Beaches,112.18,0
Plant City,Pinellas Other,518.34,8.17
Plant City,Plant City,112113.02,134557.29
Plant City,Spring Hill,112.07,0
Plant City,St Petersburg,411.63,64.89
Plant City,Tampa,3834.8,5323.52
Plant City,USF  Hosp  Busch,258.18,0
Spring Hill,Citrus,1779.3,3551.87
Spring Hill,Clearwater,310.28,123.8
Spring Hill,External,1343.3,1098.02
Spring Hill,Hernando Other,45946.26,55893.7
Spring Hill,Hillsborough Other,3753.55,2195.34
Spring Hill,Manatee Spur,4.83,0
Spring Hill,New Port Richey,902.23,1285.85
Spring Hill,Pasco Other,23472.35,14493.04
Spring Hill,Pinellas Beaches,123.74,0
Spring Hill,Pinellas Other,1510.56,773.07
Spring Hill,Plant City,112.07,0
Spring Hill,Spring Hill,136447.91,143048.4
Spring Hill,St Petersburg,372.62,1275.98
Spring Hill,Tampa,2636.84,2290.37
Spring Hill,USF  Hosp  Busch,470.95,32.51
St Petersburg,Citrus,75.91,0
St Petersburg,Clearwater,12588.98,28995.62
St Petersburg,External,5391.09,6406.57
St Petersburg,Hernando Other,213.56,0
St Petersburg,Hillsborough Other,19769.21,21254.54
St Petersburg,Manatee Spur,986.64,0
St Petersburg,New Port Richey,321.16,0
St Petersburg,Pasco Other,6221.29,729.9
St Petersburg,Pinellas Beaches,15604.95,6770.26
St Petersburg,Pinellas Other,175771.52,171982.6
St Petersburg,Plant City,411.63,0
St Petersburg,Spring Hill,372.62,902.8
St Petersburg,St Petersburg,622477.22,557897.71
St Petersburg,Tampa,24156.66,23730.48
St Petersburg,USF  Hosp  Busch,1155.54,9661.97
Tampa,Citrus,167.83,37.83
Tampa,Clearwater,7283.02,15445.77
Tampa,External,9507.14,34102.85
Tampa,Hernando Other,1615.67,1067.33
Tampa,Hillsborough Other,340847.2,398067.76
Tampa,Manatee Spur,384.55,292.5
Tampa,New Port Richey,481.89,1415.3
Tampa,Pasco Other,43360.7,69833.18
Tampa,Pinellas Beaches,2686.84,3574.23
Tampa,Pinellas Other,26024.61,36366.94
Tampa,Plant City,3826.84,1682.38
Tampa,Spring Hill,2626.85,64.23
Tampa,St Petersburg,24222.57,27310.63
Tampa,Tampa,1094044.12,1235027.79
Tampa,USF  Hosp  Busch,29417.8,69656.22
USF  Hosp  Busch,Citrus,25.71,3508.02
USF  Hosp  Busch,Clearwater,412.87,397.65
USF  Hosp  Busch,External,859.4,151
USF  Hosp  Busch,Hernando Other,264.07,0
USF  Hosp  Busch,Hillsborough Other,50769.09,61041.74
USF  Hosp  Busch,Manatee Spur,63.16,0
USF  Hosp  Busch,New Port Richey,206.67,0
USF  Hosp  Busch,Pasco Other,7908.72,5100.9
USF  Hosp  Busch,Pinellas Beaches,101.34,0
USF  Hosp  Busch,Pinellas Other,1591.34,6512.02
USF  Hosp  Busch,Plant City,266.25,0
USF  Hosp  Busch,Spring Hill,470.4,23
USF  Hosp  Busch,St Petersburg,1152.26,2624.71
USF  Hosp  Busch,Tampa,29321.61,88059.52
USF  Hosp  Busch,USF  Hosp  Busch,47542.86,153537.85
