GEOID,STATE,GROUP,Sum of home_device_count
34013020500,New Jersey,0,5956
34013020600,New Jersey,0,3860
34013020700,New Jersey,0,3112
34013020800,New Jersey,0,5821
34013020901,New Jersey,0,1002
34013020902,New Jersey,0,3776
34013021000,New Jersey,0,3152
34013021100,New Jersey,0,2683
34013021200,New Jersey,0,2454
34013021300,New Jersey,0,4022
34013021400,New Jersey,0,4654
34013021601,New Jersey,0,6881
34013021602,New Jersey,0,4313
34013021701,New Jersey,0,2143
34013021702,New Jersey,0,1760
34013021801,New Jersey,0,1746
34013021802,New Jersey,0,3119
34013021803,New Jersey,0,3568
34013022700,New Jersey,0,1467
34013022800,New Jersey,0,1222
34013022900,New Jersey,0,1644
34013023000,New Jersey,0,1789
34013023100,New Jersey,0,1477
34013023200,New Jersey,0,1460
34013980100,New Jersey,0,101
34013980200,New Jersey,0,971
34017000100,New Jersey,0,1570
34017000200,New Jersey,0,1889
34017000300,New Jersey,0,1202
34017000400,New Jersey,0,1596
34017000500,New Jersey,0,1234
34017000600,New Jersey,0,1579
34017000700,New Jersey,0,846
34017000800,New Jersey,0,942
34017000902,New Jersey,0,1662
34017001000,New Jersey,0,794
34017001100,New Jersey,0,1445
34017001201,New Jersey,0,1095
34017001202,New Jersey,0,295
34017001300,New Jersey,0,659
34017001400,New Jersey,0,1271
34017001701,New Jersey,0,3323
34017001800,New Jersey,0,1977
34017001900,New Jersey,0,1585
34017002000,New Jersey,0,2213
34017002200,New Jersey,0,402
34017002300,New Jersey,0,592
34017002400,New Jersey,0,500
34017002700,New Jersey,0,2720
34017002800,New Jersey,0,2050
34017002900,New Jersey,0,1263
34017003000,New Jersey,0,1335
34017003100,New Jersey,0,1651
34017003500,New Jersey,0,421
34017004000,New Jersey,0,3389
34017004101,New Jersey,0,2909
34017004102,New Jersey,0,1130
34017004200,New Jersey,0,1880
34017004300,New Jersey,0,952
34017004400,New Jersey,0,976
34017004500,New Jersey,0,1161
34017004600,New Jersey,0,771
34017004700,New Jersey,0,763
34017004800,New Jersey,0,1940
34017004900,New Jersey,0,2006
34017005200,New Jersey,0,1797
34017005300,New Jersey,0,1378
34017005400,New Jersey,0,2822
34017005500,New Jersey,0,1126
34017005600,New Jersey,0,1599
34017005801,New Jersey,0,2045
34017005802,New Jersey,0,649
34017005900,New Jersey,0,3343
34017006000,New Jersey,0,1623
34017006100,New Jersey,0,4325
34017006200,New Jersey,0,1496
34017006300,New Jersey,0,1844
34017006400,New Jersey,0,1015
34017006500,New Jersey,0,1062
34017006600,New Jersey,0,771
34017006700,New Jersey,0,1375
34017006800,New Jersey,0,1555
34017006900,New Jersey,0,317
34017007000,New Jersey,0,917
