GEOID,STATE,Date,Sum of home_device_count
34013020500,New Jersey,13-Feb,4857
34013020600,New Jersey,13-Feb,2922
34013020700,New Jersey,13-Feb,2307
34013020800,New Jersey,13-Feb,4525
34013020901,New Jersey,13-Feb,846
34013020902,New Jersey,13-Feb,2945
34013021000,New Jersey,13-Feb,2713
34013021100,New Jersey,13-Feb,2178
34013021200,New Jersey,13-Feb,1720
34013021300,New Jersey,13-Feb,2969
34013021400,New Jersey,13-Feb,3426
34013021601,New Jersey,13-Feb,5601
34013021602,New Jersey,13-Feb,3190
34013021701,New Jersey,13-Feb,1792
34013021702,New Jersey,13-Feb,1547
34013021801,New Jersey,13-Feb,1435
34013021802,New Jersey,13-Feb,2848
34013021803,New Jersey,13-Feb,2910
34013022700,New Jersey,13-Feb,1551
34013022800,New Jersey,13-Feb,1557
34013022900,New Jersey,13-Feb,1621
34013023000,New Jersey,13-Feb,2123
34013023100,New Jersey,13-Feb,1844
34013023200,New Jersey,13-Feb,1454
34013980100,New Jersey,13-Feb,36
34013980200,New Jersey,13-Feb,1163
34017000100,New Jersey,13-Feb,1459
34017000200,New Jersey,13-Feb,1914
34017000300,New Jersey,13-Feb,1339
34017000400,New Jersey,13-Feb,1481
34017000500,New Jersey,13-Feb,1304
34017000600,New Jersey,13-Feb,1474
34017000700,New Jersey,13-Feb,920
34017000800,New Jersey,13-Feb,1018
34017000902,New Jersey,13-Feb,1548
34017001000,New Jersey,13-Feb,675
34017001100,New Jersey,13-Feb,1429
34017001201,New Jersey,13-Feb,888
34017001202,New Jersey,13-Feb,485
34017001300,New Jersey,13-Feb,596
34017001400,New Jersey,13-Feb,1188
34017001701,New Jersey,13-Feb,3178
34017001800,New Jersey,13-Feb,2310
34017001900,New Jersey,13-Feb,1236
34017002000,New Jersey,13-Feb,1961
34017002200,New Jersey,13-Feb,291
34017002300,New Jersey,13-Feb,583
34017002400,New Jersey,13-Feb,365
34017002700,New Jersey,13-Feb,2875
34017002800,New Jersey,13-Feb,2196
34017002900,New Jersey,13-Feb,1338
34017003000,New Jersey,13-Feb,1450
34017003100,New Jersey,13-Feb,1285
34017003500,New Jersey,13-Feb,379
34017004000,New Jersey,13-Feb,3146
34017004101,New Jersey,13-Feb,2944
34017004102,New Jersey,13-Feb,1142
34017004200,New Jersey,13-Feb,2246
34017004300,New Jersey,13-Feb,940
34017004400,New Jersey,13-Feb,987
34017004500,New Jersey,13-Feb,1140
34017004600,New Jersey,13-Feb,731
34017004700,New Jersey,13-Feb,667
34017004800,New Jersey,13-Feb,2308
34017004900,New Jersey,13-Feb,1808
34017005200,New Jersey,13-Feb,1994
34017005300,New Jersey,13-Feb,1506
34017005400,New Jersey,13-Feb,2683
34017005500,New Jersey,13-Feb,1180
34017005600,New Jersey,13-Feb,1502
34017005801,New Jersey,13-Feb,2028
34017005802,New Jersey,13-Feb,833
34017005900,New Jersey,13-Feb,3068
34017006000,New Jersey,13-Feb,1916
34017006100,New Jersey,13-Feb,3532
34017006200,New Jersey,13-Feb,1282
34017006300,New Jersey,13-Feb,1864
34017006400,New Jersey,13-Feb,721
34017006500,New Jersey,13-Feb,863
34017006600,New Jersey,13-Feb,689
34017006700,New Jersey,13-Feb,1687
34017006800,New Jersey,13-Feb,1607
34017006900,New Jersey,13-Feb,422
34017007000,New Jersey,13-Feb,886
34017007100,New Jersey,13-Feb,1175
34017007200,New Jersey,13-Feb,443
34017007300,New Jersey,13-Feb,812
34017007400,New Jersey,13-Feb,748
34017007500,New Jersey,13-Feb,1249
34017007600,New Jersey,13-Feb,2640
34017007700,New Jersey,13-Feb,2023
34017007800,New Jersey,13-Feb,1006
34017010100,New Jersey,13-Feb,2712
34017010200,New Jersey,13-Feb,1426
34017010300,New Jersey,13-Feb,1406
34017010400,New Jersey,13-Feb,8075
34017010500,New Jersey,13-Feb,2146
34017010600,New Jersey,13-Feb,3015
34017010700,New Jersey,13-Feb,2011
34017010800,New Jersey,13-Feb,1513
34017010900,New Jersey,13-Feb,1398
34017011000,New Jersey,13-Feb,1134
34017011100,New Jersey,13-Feb,1890
34017011200,New Jersey,13-Feb,2488
34017011300,New Jersey,13-Feb,1172
34017011400,New Jersey,13-Feb,1329
34017011500,New Jersey,13-Feb,1007
34017011600,New Jersey,13-Feb,1771
34017012300,New Jersey,13-Feb,1075
34017012400,New Jersey,13-Feb,1042
34017012500,New Jersey,13-Feb,1611
