GEOID,County,State,"Change in percent devices at home, midday"
34013021802,Essex,NJ,41.89
34013021803,Essex,NJ,43.84
34013022700,Essex,NJ,29.23
34013022800,Essex,NJ,23.57
34013022900,Essex,NJ,21.28
34013023000,Essex,NJ,9.01
34013023100,Essex,NJ,15.28
34013023200,Essex,NJ,20.1
34013980100,Essex,NJ,19.2
34013980200,Essex,NJ,-0.44
34017000100,Hudson,NJ,38.04
34017000200,Hudson,NJ,28.21
34017000300,Hudson,NJ,34.9
34017000400,Hudson,NJ,24.39
34017000500,Hudson,NJ,29.28
34017000600,Hudson,NJ,31.23
34017000700,Hudson,NJ,23.61
34017000800,Hudson,NJ,36.23
34017000902,Hudson,NJ,30.5
34017001000,Hudson,NJ,35.98
34017001100,Hudson,NJ,25.23
34017001201,Hudson,NJ,33.65
34017001202,Hudson,NJ,27.08
34017001300,Hudson,NJ,41.01
34017001400,Hudson,NJ,29.62
34017001701,Hudson,NJ,33.47
34017001800,Hudson,NJ,22.2
34017001900,Hudson,NJ,37.08
34017002000,Hudson,NJ,28.54
34017002200,Hudson,NJ,44.21
34017002300,Hudson,NJ,30.76
34017002400,Hudson,NJ,29.36
34017002700,Hudson,NJ,23.78
34017002800,Hudson,NJ,18.04
34017002900,Hudson,NJ,29.05
34017003000,Hudson,NJ,20.04
34017003100,Hudson,NJ,18.13
34017003500,Hudson,NJ,37.19
34017004000,Hudson,NJ,31.67
34017004101,Hudson,NJ,28.75
34017004102,Hudson,NJ,14.55
34017004200,Hudson,NJ,27.62
34017004300,Hudson,NJ,34.75
34017004400,Hudson,NJ,19.75
34017004500,Hudson,NJ,26.16
34017004600,Hudson,NJ,34.95
34017004700,Hudson,NJ,29.5
34017004800,Hudson,NJ,25.11
34017004900,Hudson,NJ,28.74
34017005200,Hudson,NJ,15.69
34017005300,Hudson,NJ,25.8
34017005400,Hudson,NJ,25.47
34017005500,Hudson,NJ,16.13
34017005600,Hudson,NJ,29.33
34017005801,Hudson,NJ,24.7
34017005802,Hudson,NJ,18.91
34017005900,Hudson,NJ,35.61
34017006000,Hudson,NJ,23.56
34017006100,Hudson,NJ,31.61
34017006200,Hudson,NJ,27.22
34017006300,Hudson,NJ,26.89
34017006400,Hudson,NJ,34.07
34017006500,Hudson,NJ,31.99
34017006600,Hudson,NJ,25.5
34017006700,Hudson,NJ,12.29
34017006800,Hudson,NJ,24.14
34017006900,Hudson,NJ,-3.12
34017007000,Hudson,NJ,31.18
34017007100,Hudson,NJ,36.77
34017007200,Hudson,NJ,43.72
34017007300,Hudson,NJ,28.22
34017007400,Hudson,NJ,40.95
34017007500,Hudson,NJ,33.41
