GEOID,County,Time of Day,Change in Percent Devices at Home
34017019300,Hudson,Morning,-16.66
34017019400,Hudson,Morning,7.33
34017019800,Hudson,Morning,16.28
34017019900,Hudson,Morning,15.37
34017020000,Hudson,Morning,14.53
34017020100,Hudson,Morning,14.98
34017032400,Hudson,Morning,14.39
34017980100,Hudson,Morning,-52.5
34019010100,Hunterdon,Morning,9.92
34019010200,Hunterdon,Morning,8.73
34019010300,Hunterdon,Morning,6.24
34019010400,Hunterdon,Morning,14.13
34019010500,Hunterdon,Morning,15.15
34019010600,Hunterdon,Morning,16.32
34019010701,Hunterdon,Morning,5.96
34019010702,Hunterdon,Morning,24.01
34019010801,Hunterdon,Morning,15.59
34019010802,Hunterdon,Morning,14.51
34019010900,Hunterdon,Morning,10.15
34019011001,Hunterdon,Morning,19.41
34019011002,Hunterdon,Morning,18.23
34019011100,Hunterdon,Morning,7.99
34019011201,Hunterdon,Morning,21.1
34019011202,Hunterdon,Morning,20.77
34019011301,Hunterdon,Morning,19.52
34019011302,Hunterdon,Morning,19.22
34019011303,Hunterdon,Morning,28.55
34019011304,Hunterdon,Morning,15.18
34019011400,Hunterdon,Morning,0.37
34019011500,Hunterdon,Morning,4.22
34019011600,Hunterdon,Morning,19.9
34019011700,Hunterdon,Morning,27.54
34019011800,Hunterdon,Morning,24.74
34019011900,Hunterdon,Morning,22.26
34023000100,Middlesex,Morning,12.46
34023000200,Middlesex,Morning,9.57
34023000300,Middlesex,Morning,13.64
34023000401,Middlesex,Morning,17.67
34023000403,Middlesex,Morning,11.05
34023000404,Middlesex,Morning,12.62
34023000501,Middlesex,Morning,15.06
34023000502,Middlesex,Morning,2.64
34023000603,Middlesex,Morning,18.04
34023000606,Middlesex,Morning,13.5
34023000608,Middlesex,Morning,7.11
34023000701,Middlesex,Morning,26.05
34023000702,Middlesex,Morning,18.23
34023000801,Middlesex,Morning,15.63
34023000802,Middlesex,Morning,16.73
34023000901,Middlesex,Morning,12.08
34023000902,Middlesex,Morning,20.16
34023001001,Middlesex,Morning,26.41
34023001002,Middlesex,Morning,13.52
34023001100,Middlesex,Morning,7.69
34023001200,Middlesex,Morning,8.98
34023001300,Middlesex,Morning,0.12
34023001409,Middlesex,Morning,6.32
34023001410,Middlesex,Morning,14.15
34023001411,Middlesex,Morning,19.99
34023001412,Middlesex,Morning,12.5
34023001413,Middlesex,Morning,15.47
34023001414,Middlesex,Morning,17.31
34023001415,Middlesex,Morning,20.26
34023001416,Middlesex,Morning,10.21
34023001417,Middlesex,Morning,6.23
34023001502,Middlesex,Morning,14.79
34023001504,Middlesex,Morning,10.32
34023001505,Middlesex,Morning,7.54
34023001506,Middlesex,Morning,6.44
34023001600,Middlesex,Morning,12.94
34023001701,Middlesex,Morning,10.79
34023001702,Middlesex,Morning,12.56
