GEOID,County,State,"Change in percent devices at home, midday"
34023001412,Middlesex,NJ,20.44
34023001413,Middlesex,NJ,17.63
34023001414,Middlesex,NJ,18.32
34023001415,Middlesex,NJ,20.2
34023001416,Middlesex,NJ,23.74
34023001417,Middlesex,NJ,21.75
34023001502,Middlesex,NJ,21.47
34023001504,Middlesex,NJ,16.75
34023001505,Middlesex,NJ,27.3
34023001506,Middlesex,NJ,14
34023001600,Middlesex,NJ,24.54
34023001701,Middlesex,NJ,20.86
34023001702,Middlesex,NJ,19.94
34023001803,Middlesex,NJ,20.22
34023001804,Middlesex,NJ,15.11
34023001805,Middlesex,NJ,21.97
34023001901,Middlesex,NJ,29.4
34023001902,Middlesex,NJ,26.41
34023001903,Middlesex,NJ,21.83
34023002000,Middlesex,NJ,23.48
34023002101,Middlesex,NJ,27.01
34023002102,Middlesex,NJ,25.49
34023002200,Middlesex,NJ,24.2
34023002301,Middlesex,NJ,25.44
34023002302,Middlesex,NJ,25.33
34023002401,Middlesex,NJ,23.1
34023002402,Middlesex,NJ,16.04
34023002500,Middlesex,NJ,16.44
34023002603,Middlesex,NJ,14.94
34023002604,Middlesex,NJ,21.13
34023002605,Middlesex,NJ,25.07
34023002701,Middlesex,NJ,20.03
34023002703,Middlesex,NJ,18.97
34023002805,Middlesex,NJ,26.1
34023002901,Middlesex,NJ,18.4
34023002902,Middlesex,NJ,25.55
34023003001,Middlesex,NJ,17.83
34023003002,Middlesex,NJ,12.38
34023003101,Middlesex,NJ,22.72
34023003102,Middlesex,NJ,20.4
34023003201,Middlesex,NJ,15.9
34023003203,Middlesex,NJ,17.36
34023003300,Middlesex,NJ,17.67
34023003401,Middlesex,NJ,18.3
34023003500,Middlesex,NJ,19.66
34023003600,Middlesex,NJ,18.66
34023003700,Middlesex,NJ,17.32
34023003800,Middlesex,NJ,15.55
34023004000,Middlesex,NJ,19.7
34023004100,Middlesex,NJ,16.13
34023004200,Middlesex,NJ,17.11
34023004300,Middlesex,NJ,22.54
34023004400,Middlesex,NJ,12.92
34023004500,Middlesex,NJ,18.84
34023004600,Middlesex,NJ,19.85
34023004700,Middlesex,NJ,12.64
34023004800,Middlesex,NJ,18.88
34023004900,Middlesex,NJ,14.26
34023005000,Middlesex,NJ,21.95
34023005100,Middlesex,NJ,-51.76
34023005200,Middlesex,NJ,-16.48
34023005300,Middlesex,NJ,8.98
34023005500,Middlesex,NJ,15.8
34023005601,Middlesex,NJ,7.93
34023005602,Middlesex,NJ,9.84
34023005700,Middlesex,NJ,14.38
34023005800,Middlesex,NJ,0.91
34023006001,Middlesex,NJ,13.06
34023006002,Middlesex,NJ,-10.65
34023006101,Middlesex,NJ,14.9
34023006103,Middlesex,NJ,19.18
34023006104,Middlesex,NJ,19.16
34023006203,Middlesex,NJ,20.38
34023006204,Middlesex,NJ,19.54
34023006205,Middlesex,NJ,23.59
34023006206,Middlesex,NJ,18.56
34023006207,Middlesex,NJ,17.14
34023006300,Middlesex,NJ,18.94
34023006403,Middlesex,NJ,12
34023006500,Middlesex,NJ,22.99
34023006601,Middlesex,NJ,26.72
34023006604,Middlesex,NJ,21.45
34023006605,Middlesex,NJ,25.18
34023006606,Middlesex,NJ,28.24
34023006607,Middlesex,NJ,26.91
34023006608,Middlesex,NJ,30.92
34023006701,Middlesex,NJ,24.33
34023006703,Middlesex,NJ,19.42
34023006800,Middlesex,NJ,18.78
34023006900,Middlesex,NJ,22.73
34023007000,Middlesex,NJ,21.37
34023007101,Middlesex,NJ,18.16
34023007102,Middlesex,NJ,17.07
34023007103,Middlesex,NJ,12.5
34023007202,Middlesex,NJ,23.49
34023007203,Middlesex,NJ,21.93
34023007301,Middlesex,NJ,19.39
34023007303,Middlesex,NJ,17.97
34023007304,Middlesex,NJ,16.42
34023007402,Middlesex,NJ,19.41
34023007500,Middlesex,NJ,14.99
34023007600,Middlesex,NJ,19.07
34023007702,Middlesex,NJ,22.82
34023007703,Middlesex,NJ,25.12
34023007704,Middlesex,NJ,20.37
34023007801,Middlesex,NJ,25.04
34023007804,Middlesex,NJ,19.97
34023007805,Middlesex,NJ,22.84
34023007806,Middlesex,NJ,22.1
34023007905,Middlesex,NJ,27.22
34023007906,Middlesex,NJ,17.28
34023007907,Middlesex,NJ,22.23
34023007908,Middlesex,NJ,19.15
34023007909,Middlesex,NJ,21.78
34023007910,Middlesex,NJ,19.98
34023007911,Middlesex,NJ,27.61
34023007912,Middlesex,NJ,21.05
34023008001,Middlesex,NJ,20.59
34023008101,Middlesex,NJ,18.68
34023008102,Middlesex,NJ,23.66
34023008103,Middlesex,NJ,15.21
34023008202,Middlesex,NJ,23.3
34023008204,Middlesex,NJ,19.67
34023008205,Middlesex,NJ,16.92
34023008206,Middlesex,NJ,18.88
34023008207,Middlesex,NJ,24.29
34023008208,Middlesex,NJ,26.32
34023008209,Middlesex,NJ,23.1
34023008300,Middlesex,NJ,18.32
34023008403,Middlesex,NJ,21
34023008404,Middlesex,NJ,20.52
34023008405,Middlesex,NJ,18.06
34023008406,Middlesex,NJ,18.7
34023008501,Middlesex,NJ,18.81
34023008502,Middlesex,NJ,12.97
34023008503,Middlesex,NJ,19.88
34023008504,Middlesex,NJ,14.57
34023008601,Middlesex,NJ,22.53
34023008602,Middlesex,NJ,20.21
34023008604,Middlesex,NJ,23.65
34023008605,Middlesex,NJ,24.74
34023008606,Middlesex,NJ,24.97
34023008700,Middlesex,NJ,10.41
34023008800,Middlesex,NJ,-34.88
34023008900,Middlesex,NJ,13.72
34023009000,Middlesex,NJ,12.93
34023009100,Middlesex,NJ,20.74
34023009200,Middlesex,NJ,18.26
34023009300,Middlesex,NJ,8.84
34023009400,Middlesex,NJ,22.23
34025800100,Monmouth,NJ,17.01
34025800200,Monmouth,NJ,13.88
34025800400,Monmouth,NJ,15.57
34025800500,Monmouth,NJ,22.09
34025800601,Monmouth,NJ,23.17
34025800602,Monmouth,NJ,22.63
34025800701,Monmouth,NJ,19.76
34025800702,Monmouth,NJ,22.48
34025800800,Monmouth,NJ,24.07
34025800900,Monmouth,NJ,20.2
34025801000,Monmouth,NJ,23.06
34025801100,Monmouth,NJ,19.75
34025801200,Monmouth,NJ,26.97
34025801300,Monmouth,NJ,23.65
34025801400,Monmouth,NJ,19.78
34025801500,Monmouth,NJ,25.43
