GEOID,County,Day type,"Change in percent devices at home, midday"
34013002100,Essex,Weekday,23.05
34013002201,Essex,Weekday,20.66
34013002202,Essex,Weekday,26.11
34013002300,Essex,Weekday,15.24
34013002400,Essex,Weekday,26.99
34013002500,Essex,Weekday,17.01
34013002600,Essex,Weekday,16.11
34013002800,Essex,Weekday,27.86
34013003100,Essex,Weekday,31.71
34013003500,Essex,Weekday,20.4
34013003700,Essex,Weekday,15.68
34013003800,Essex,Weekday,19.09
34013003900,Essex,Weekday,23.37
34013004100,Essex,Weekday,21.92
34013004200,Essex,Weekday,16.28
34013004300,Essex,Weekday,18.41
34013004400,Essex,Weekday,19.04
34013004500,Essex,Weekday,25.15
34013004600,Essex,Weekday,23.35
34013004700,Essex,Weekday,25.23
34013004801,Essex,Weekday,22.25
34013004802,Essex,Weekday,17.13
34013004900,Essex,Weekday,27.67
34013005000,Essex,Weekday,19.63
34013005100,Essex,Weekday,16.88
34013005200,Essex,Weekday,24.27
34013005300,Essex,Weekday,17.69
34013005400,Essex,Weekday,21.42
34013005700,Essex,Weekday,21.95
34013006200,Essex,Weekday,13.67
34013006400,Essex,Weekday,46.44
34013006600,Essex,Weekday,26.77
34013006700,Essex,Weekday,17.31
34013006800,Essex,Weekday,28.71
34013006900,Essex,Weekday,23.98
34013007000,Essex,Weekday,26.69
34013007100,Essex,Weekday,26.84
34013007200,Essex,Weekday,30.07
34013007300,Essex,Weekday,26.24
34013007400,Essex,Weekday,15.37
34013007501,Essex,Weekday,23.05
34013007502,Essex,Weekday,17.68
34013007600,Essex,Weekday,22.81
34013007700,Essex,Weekday,25.83
34013007800,Essex,Weekday,31.01
34013007900,Essex,Weekday,24.58
34013008000,Essex,Weekday,18.22
34013008100,Essex,Weekday,19.64
34013008200,Essex,Weekday,0.64
34013008700,Essex,Weekday,24.72
34013008800,Essex,Weekday,27.28
34013008900,Essex,Weekday,18.9
34013009000,Essex,Weekday,27.88
34013009100,Essex,Weekday,19.43
34013009200,Essex,Weekday,27.39
34013009300,Essex,Weekday,24.59
34013009400,Essex,Weekday,32.48
34013009500,Essex,Weekday,23.77
34013009600,Essex,Weekday,29.78
34013009700,Essex,Weekday,26.98
34013009900,Essex,Weekday,25.38
34013010000,Essex,Weekday,40.23
34013010100,Essex,Weekday,25.13
34013010200,Essex,Weekday,29
34013010300,Essex,Weekday,25.86
34013010400,Essex,Weekday,22.74
34013010500,Essex,Weekday,23.58
34013010600,Essex,Weekday,18.05
34013010700,Essex,Weekday,21.18
34013010800,Essex,Weekday,20.46
34013010900,Essex,Weekday,18.65
34013011100,Essex,Weekday,17.73
34013011200,Essex,Weekday,24.73
34013011300,Essex,Weekday,21.93
34013011400,Essex,Weekday,18.67
34013011500,Essex,Weekday,19.1
34013011600,Essex,Weekday,16.97
34013011700,Essex,Weekday,26.22
34013011800,Essex,Weekday,23.84
34013011900,Essex,Weekday,21
34013012000,Essex,Weekday,16.08
34013012100,Essex,Weekday,22.36
34013012200,Essex,Weekday,20.86
34013012300,Essex,Weekday,25.34
34013012400,Essex,Weekday,20.55
34013012500,Essex,Weekday,20.4
34013012600,Essex,Weekday,20.18
34013012700,Essex,Weekday,23.67
34013012800,Essex,Weekday,15.67
34013012900,Essex,Weekday,19.98
34013013000,Essex,Weekday,20.89
34013013100,Essex,Weekday,17.42
34013013200,Essex,Weekday,20.6
34013013300,Essex,Weekday,21.72
34013013400,Essex,Weekday,44.93
34013013500,Essex,Weekday,39.76
34013013600,Essex,Weekday,45.32
34013013700,Essex,Weekday,38.88
34013013800,Essex,Weekday,35.13
34013013900,Essex,Weekday,35.48
34013014000,Essex,Weekday,29.61
34013014100,Essex,Weekday,28.29
34013014200,Essex,Weekday,40.32
34013014300,Essex,Weekday,35.19
34013014400,Essex,Weekday,26.56
34013014500,Essex,Weekday,28.82
34013014600,Essex,Weekday,27.46
34013014700,Essex,Weekday,31.45
34013014800,Essex,Weekday,47.89
34013014900,Essex,Weekday,45.64
34013015000,Essex,Weekday,27.66
34013015100,Essex,Weekday,42.38
34013015200,Essex,Weekday,28.4
34013015300,Essex,Weekday,26.32
34013015400,Essex,Weekday,19.89
34013015500,Essex,Weekday,32.63
34013015600,Essex,Weekday,33
34013015700,Essex,Weekday,30.14
34013015800,Essex,Weekday,29.29
34013015900,Essex,Weekday,32.71
34013016000,Essex,Weekday,38
34013016100,Essex,Weekday,33.47
34013016200,Essex,Weekday,38.7
34013016300,Essex,Weekday,42.53
34013016400,Essex,Weekday,47.17
34013016500,Essex,Weekday,32.48
34013016600,Essex,Weekday,24.87
34013016700,Essex,Weekday,41.44
34013016800,Essex,Weekday,27.69
34013016900,Essex,Weekday,32.11
34013017000,Essex,Weekday,41.57
34013017100,Essex,Weekday,24.46
34013017200,Essex,Weekday,32.92
34013017301,Essex,Weekday,44
34013017302,Essex,Weekday,36.96
34013017400,Essex,Weekday,35.49
34013017500,Essex,Weekday,42.11
34013017600,Essex,Weekday,32.13
34013017700,Essex,Weekday,29.74
34013017800,Essex,Weekday,37.23
34013017900,Essex,Weekday,41.12
34013018000,Essex,Weekday,45.13
34013018100,Essex,Weekday,22.08
34013018200,Essex,Weekday,18.74
34013018300,Essex,Weekday,14.11
34013018400,Essex,Weekday,21.98
34013018600,Essex,Weekday,22.93
34013018700,Essex,Weekday,23.81
34013018800,Essex,Weekday,28.15
34013018900,Essex,Weekday,28.23
34013019000,Essex,Weekday,49.83
34013019100,Essex,Weekday,39.88
34013019200,Essex,Weekday,-9.29
34013019300,Essex,Weekday,27.75
34013019400,Essex,Weekday,49.79
34013019500,Essex,Weekday,39.69
34013019600,Essex,Weekday,34.63
34013019700,Essex,Weekday,32.1
34013019800,Essex,Weekday,43.38
34013019900,Essex,Weekday,45.36
34013020000,Essex,Weekday,45.75
34013020100,Essex,Weekday,51.09
34013020200,Essex,Weekday,48.35
34013020300,Essex,Weekday,46.51
34013020400,Essex,Weekday,53.4
34013020500,Essex,Weekday,48.09
34013020600,Essex,Weekday,51.78
34013020700,Essex,Weekday,43.55
34013020800,Essex,Weekday,49.64
34013020901,Essex,Weekday,39.19
34013020902,Essex,Weekday,40.8
34013021000,Essex,Weekday,38.48
34013021100,Essex,Weekday,39.59
34013021200,Essex,Weekday,44.51
34013021300,Essex,Weekday,40.34
34013021400,Essex,Weekday,43.47
34013021601,Essex,Weekday,40.3
34013021602,Essex,Weekday,47.87
34013021701,Essex,Weekday,32.02
34013021702,Essex,Weekday,35.05
34013021801,Essex,Weekday,45.73
34013021802,Essex,Weekday,41.89
34013021803,Essex,Weekday,43.84
34013022700,Essex,Weekday,29.23
34013022800,Essex,Weekday,23.57
34013022900,Essex,Weekday,21.28
34013023000,Essex,Weekday,9.01
34013023100,Essex,Weekday,15.28
34013023200,Essex,Weekday,20.1
34013980100,Essex,Weekday,19.2
34013980200,Essex,Weekday,-0.44
34017000100,Hudson,Weekday,38.04
34017000200,Hudson,Weekday,28.21
34017000300,Hudson,Weekday,34.9
34017000400,Hudson,Weekday,24.39
34017000500,Hudson,Weekday,29.28
34017000600,Hudson,Weekday,31.23
34017000700,Hudson,Weekday,23.61
34017000800,Hudson,Weekday,36.23
34017000902,Hudson,Weekday,30.5
34017001000,Hudson,Weekday,35.98
34017001100,Hudson,Weekday,25.23
34017001201,Hudson,Weekday,33.65
34017001202,Hudson,Weekday,27.08
34017001300,Hudson,Weekday,41.01
34017001400,Hudson,Weekday,29.62
34017001701,Hudson,Weekday,33.47
34017001800,Hudson,Weekday,22.2
34017001900,Hudson,Weekday,37.08
34017002000,Hudson,Weekday,28.54
34017002200,Hudson,Weekday,44.21
34017002300,Hudson,Weekday,30.76
34017002400,Hudson,Weekday,29.36
34017002700,Hudson,Weekday,23.78
34017002800,Hudson,Weekday,18.04
34017002900,Hudson,Weekday,29.05
34017003000,Hudson,Weekday,20.04
34017003100,Hudson,Weekday,18.13
34017003500,Hudson,Weekday,37.19
34017004000,Hudson,Weekday,31.67
34017004101,Hudson,Weekday,28.75
34017004102,Hudson,Weekday,14.55
34017004200,Hudson,Weekday,27.62
34017004300,Hudson,Weekday,34.75
34017004400,Hudson,Weekday,19.75
34017004500,Hudson,Weekday,26.16
34017004600,Hudson,Weekday,34.95
34017004700,Hudson,Weekday,29.5
34017004800,Hudson,Weekday,25.11
34017004900,Hudson,Weekday,28.74
34017005200,Hudson,Weekday,15.69
34017005300,Hudson,Weekday,25.8
34017005400,Hudson,Weekday,25.47
34017005500,Hudson,Weekday,16.13
34017005600,Hudson,Weekday,29.33
34017005801,Hudson,Weekday,24.7
34017005802,Hudson,Weekday,18.91
34017005900,Hudson,Weekday,35.61
34017006000,Hudson,Weekday,23.56
34017006100,Hudson,Weekday,31.61
34017006200,Hudson,Weekday,27.22
34017006300,Hudson,Weekday,26.89
34017006400,Hudson,Weekday,34.07
34017006500,Hudson,Weekday,31.99
34017006600,Hudson,Weekday,25.5
34017006700,Hudson,Weekday,12.29
34017006800,Hudson,Weekday,24.14
34017006900,Hudson,Weekday,-3.12
34017007000,Hudson,Weekday,31.18
34017007100,Hudson,Weekday,36.77
34017007200,Hudson,Weekday,43.72
34017007300,Hudson,Weekday,28.22
34017007400,Hudson,Weekday,40.95
34017007500,Hudson,Weekday,33.41
34017007600,Hudson,Weekday,40.11
34017007700,Hudson,Weekday,34.29
34017007800,Hudson,Weekday,25.6
34017010100,Hudson,Weekday,28.53
34017010200,Hudson,Weekday,30.01
34017010300,Hudson,Weekday,27.21
34017010400,Hudson,Weekday,-5.11
34017010500,Hudson,Weekday,38.31
34017010600,Hudson,Weekday,28.01
34017010700,Hudson,Weekday,26.32
34017010800,Hudson,Weekday,23.43
34017010900,Hudson,Weekday,31.87
34017011000,Hudson,Weekday,29.74
34017011100,Hudson,Weekday,28.73
