Person Type Scenario,Period,Location,Percent Active Devices
Resident Weekday Now,6,HOME,0.926244127
Resident Weekday Now,7,HOME,0.927950413
Resident Weekday Now,8,HOME,0.927777953
Resident Weekday Now,9,HOME,0.927259388
Resident Weekday Now,10,HOME,0.92500798
Resident Weekday Now,11,HOME,0.920580344
Resident Weekday Now,12,HOME,0.912052675
Resident Weekday Now,13,HOME,0.895279556
Resident Weekday Now,14,HOME,0.876404034
Resident Weekday Now,15,HOME,0.851270639
Resident Weekday Now,16,HOME,0.830948133
Resident Weekday Now,17,HOME,0.807935646
Resident Weekday Now,18,HOME,0.788906231
Resident Weekday Now,19,HOME,0.774043573
Resident Weekday Now,20,HOME,0.763534328
Resident Weekday Now,21,HOME,0.756055848
Resident Weekday Now,22,HOME,0.750390077
Resident Weekday Now,23,HOME,0.748936054
Resident Weekday Now,24,HOME,0.744271251
Resident Weekday Now,25,HOME,0.742098291
Resident Weekday Now,26,HOME,0.741113783
Resident Weekday Now,27,HOME,0.744337146
Resident Weekday Now,28,HOME,0.74306712
Resident Weekday Now,29,HOME,0.745898222
Resident Weekday Now,30,HOME,0.748193346
Resident Weekday Now,31,HOME,0.756226773
Resident Weekday Now,32,HOME,0.76667532
Resident Weekday Now,33,HOME,0.781918455
Resident Weekday Now,34,HOME,0.797066267
Resident Weekday Now,35,HOME,0.815459949
Resident Weekday Now,36,HOME,0.827333978
Resident Weekday Now,37,HOME,0.838529496
Resident Weekday Now,38,HOME,0.844447001
Resident Weekday Now,39,HOME,0.851926845
Resident Weekday Now,40,HOME,0.851603716
Resident Weekday Now,41,HOME,0.870154092
Resident Weekday Now,42,HOME,0.873963523
Resident Weekday Now,43,HOME,0.881280876
Resident Weekday Now,44,HOME,0.884706192
Resident Weekday Now,45,HOME,0.892845886
Resident Weekday Now,46,HOME,0.895183706
Resident Weekday Now,47,HOME,0.901951945
Resident Weekday Now,48,HOME,0.905225813
Resident Weekday Now,1,WORK,0.037102799
Resident Weekday Now,2,WORK,0.035759894
Resident Weekday Now,3,WORK,0.034201981
Resident Weekday Now,4,WORK,0.033318752
Resident Weekday Now,5,WORK,0.032333598
Resident Weekday Now,6,WORK,0.031990768
Resident Weekday Now,7,WORK,0.031498872
Resident Weekday Now,8,WORK,0.031494284
Resident Weekday Now,9,WORK,0.032069113
Resident Weekday Now,10,WORK,0.033441211
Resident Weekday Now,11,WORK,0.036362971
Resident Weekday Now,12,WORK,0.041183785
Resident Weekday Now,13,WORK,0.052805097
Resident Weekday Now,14,WORK,0.06622907
Resident Weekday Now,15,WORK,0.086006359
Resident Weekday Now,16,WORK,0.101010938
Resident Weekday Now,17,WORK,0.119315439
Resident Weekday Now,18,WORK,0.133479724
Resident Weekday Now,19,WORK,0.147069729
Resident Weekday Now,20,WORK,0.153983587
Resident Weekday Now,21,WORK,0.159757045
Resident Weekday Now,22,WORK,0.162593417
Resident Weekday Now,23,WORK,0.164221216
Resident Weekday Now,24,WORK,0.166591522
Resident Weekday Now,25,WORK,0.167513087
Resident Weekday Now,26,WORK,0.16726925
Resident Weekday Now,27,WORK,0.165786275
Resident Weekday Now,28,WORK,0.165169236
Resident Weekday Now,29,WORK,0.163204563
Resident Weekday Now,30,WORK,0.159539763
Resident Weekday Now,31,WORK,0.153019818
Resident Weekday Now,32,WORK,0.142734696
Resident Weekday Now,33,WORK,0.13016204
Resident Weekday Now,34,WORK,0.116151871
Resident Weekday Now,35,WORK,0.098468798
Resident Weekday Now,36,WORK,0.087378628
Resident Weekday Now,37,WORK,0.07885209
Resident Weekday Now,38,WORK,0.073490569
Resident Weekday Now,39,WORK,0.068667776
Resident Weekday Now,40,WORK,0.066652859
Resident Weekday Now,41,WORK,0.060481351
Resident Weekday Now,42,WORK,0.058152246
Resident Weekday Now,43,WORK,0.054622142
Resident Weekday Now,44,WORK,0.052401948
Resident Weekday Now,45,WORK,0.048382906
Resident Weekday Now,46,WORK,0.046792304
Resident Weekday Now,47,WORK,0.04327655
Resident Weekday Now,48,WORK,0.041053753
Resident Weekday Now,1,OTHER,0.048219308
Resident Weekday Now,2,OTHER,0.04746261
Resident Weekday Now,3,OTHER,0.044139801
Resident Weekday Now,4,OTHER,0.043503986
Resident Weekday Now,5,OTHER,0.04209175
Resident Weekday Now,6,OTHER,0.041765106
Resident Weekday Now,7,OTHER,0.040550715
Resident Weekday Now,8,OTHER,0.040727763
Resident Weekday Now,9,OTHER,0.040671499
Resident Weekday Now,10,OTHER,0.041550809
Resident Weekday Now,11,OTHER,0.043056685
Resident Weekday Now,12,OTHER,0.046763539
