ZONE,MODE,TRIPS
603,WALK,881.94
604,AUTO,661.99
604,WALK,3249.9
605,AUTO,1275.53
605,WALK,744.09
606,AUTO,4034.74
607,AUTO,417.95
607,BIKE,6.19
607,TNC,6.19
607,WALK,309.14
608,AUTO,4314.71
608,WALK,78.11
609,AUTO,2378.26
609,WALK,672.47
610,AUTO,2555.17
611,AUTO,1384.14
611,WALK,540.17
612,AUTO,1241.41
612,WALK,103.21
613,AUTO,5574.42
613,BIKE,6.19
613,CAR SHARE,36.95
613,WALK,124.23
614,AUTO,3854.26
614,TRANSIT,527.84
615,AUTO,1310.76
616,AUTO,1779.9
616,TNC,41.48
617,AUTO,804.07
618,AUTO,18747.89
618,TRANSIT,724.04
618,WALK,138.98
619,AUTO,4199.89
619,BIKE,159.5
619,WALK,843.96
620,AUTO,1921.58
620,WALK,296.76
621,AUTO,225.22
621,BIKE,139.4
621,WALK,1065.36
622,AUTO,17136.93
622,TRANSIT,119.04
622,WALK,720.61
623,AUTO,4541.35
623,TRANSIT,156.24
623,WALK,608.65
624,AUTO,4606.99
624,TRANSIT,6.09
624,WALK,625.71
625,AUTO,32.12
625,TNC,4.65
625,WALK,302.95
626,AUTO,3160.27
626,TNC,1593.03
626,WALK,639.56
627,AUTO,8373.35
627,TRANSIT,172.35
627,WALK,1863.83
628,AUTO,6.33
628,BIKE,6.19
628,WALK,25.33
629,AUTO,1181.83
629,WALK,1788.83
630,AUTO,1837.8
630,WALK,1379.44
631,AUTO,1338.49
631,TNC,166.75
631,TRANSIT,18.32
631,WALK,3356.8
632,AUTO,684.46
633,AUTO,2573.48
634,AUTO,5228.01
634,WALK,471.58
635,AUTO,15025.16
635,CAR SHARE,18.45
635,WALK,151.81
636,AUTO,1554.4
637,AUTO,9438.29
637,TNC,206.48
637,WALK,2984.69
638,AUTO,589.58
638,WALK,77.57
639,AUTO,239.83
639,CAR SHARE,115.93
639,LONG DIST PASS,3854.26
639,SHUTTLE VANPOOL,5.99
639,TRANSIT,52.22
639,WALK,184.23
640,AUTO,194.28
641,AUTO,5115.47
641,TNC,63.2
641,TRANSIT,52.89
641,WALK,3456.3
