FROM,TO,TRIPS
Pasco West,Hernando,8188.37
Pasco West,Hillsborough  Manatee Spur,7754.02
Pasco West,Hudson,9291.03
Pasco West,I-75  SR 52,0
Pasco West,Lacoochie Ind Area,0
Pasco West,Land O Lakes  Connerton,2306.86
Pasco West,NW Pasco,614.76
Pasco West,New Port Richey,56628.92
Pasco West,Pasco Central,31208.67
Pasco West,Pasco East,196.86
Pasco West,Pasco West,249027.67
Pasco West,Pinellas,64711.03
Pasco West,San Antonio,0
Pasco West,Seven Springs  Odessa,55565.38
Pasco West,Suncoast  SR 54,127.04
Pasco West,Wesley Chapel  I-75 - SR56,0
Pasco West,Zephyrhills,2744.61
Pinellas,Citrus,0
Pinellas,Dade City,0
Pinellas,E New Port Richey,141.21
Pinellas,External,0
Pinellas,Hernando,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Hudson,1.19
Pinellas,I-75  SR 52,107.99
Pinellas,Lacoochie Ind Area,0
Pinellas,Land O Lakes  Connerton,98.31
Pinellas,NW Pasco,22.73
Pinellas,New Port Richey,21077.24
Pinellas,Pasco Central,1226.29
Pinellas,Pasco East,3493.2
Pinellas,Pasco West,57557.97
Pinellas,Pinellas,0
Pinellas,San Antonio,60.81
Pinellas,Seven Springs  Odessa,12212
Pinellas,Suncoast  SR 54,1684
Pinellas,Wesley Chapel  I-75 - SR56,1593.23
Pinellas,Zephyrhills,139.2
San Antonio,Citrus,0
San Antonio,Dade City,377.35
San Antonio,E New Port Richey,0
San Antonio,External,60.81
San Antonio,Hernando,149.7
San Antonio,Hillsborough  Manatee Spur,155.18
San Antonio,Hudson,0
San Antonio,I-75  SR 52,106.74
San Antonio,Lacoochie Ind Area,0
San Antonio,Land O Lakes  Connerton,0
San Antonio,NW Pasco,0
San Antonio,New Port Richey,0
San Antonio,Pasco Central,0
San Antonio,Pasco East,148.42
San Antonio,Pasco West,0
San Antonio,Pinellas,0
San Antonio,San Antonio,52.22
San Antonio,Seven Springs  Odessa,0
San Antonio,Suncoast  SR 54,0
San Antonio,Wesley Chapel  I-75 - SR56,0
San Antonio,Zephyrhills,18.29
Seven Springs  Odessa,Citrus,0
Seven Springs  Odessa,Dade City,0
Seven Springs  Odessa,E New Port Richey,3066.02
Seven Springs  Odessa,External,2538.84
Seven Springs  Odessa,Hernando,135.8
Seven Springs  Odessa,Hillsborough  Manatee Spur,8694.19
Seven Springs  Odessa,Hudson,0
