PERSON_TYPE,PER,ORIG_PURPOSE,TIME_USE
ALL,35,HOME,10335.7156170833
ALL,35,MEAL,1963.41766166667
ALL,35,OTHER,0
ALL,35,SCHOOL,454.464419166667
ALL,35,SHOP,2252.58489625
ALL,35,SOC AND REC,3263.608305625
ALL,35,WORK,2430.89702291667
ALL,36,COMMUTE,2226.86717277718
ALL,36,ESCORT,549.757175625
ALL,36,HOME,10199.5534585417
ALL,36,MEAL,1602.299526875
ALL,36,OTHER,0
ALL,36,SCHOOL,251.461497708333
ALL,36,SHOP,1647.82839604167
ALL,36,SOC AND REC,2676.16210875
ALL,36,WORK,1818.91357020833
ALL,37,COMMUTE,1937.30025685209
ALL,37,ESCORT,367.897811458333
ALL,37,HOME,9774.655681875
ALL,37,MEAL,1350.78607958333
ALL,37,OTHER,0
ALL,37,SCHOOL,172.524629791667
ALL,37,SHOP,1015.4920775
ALL,37,SOC AND REC,2021.227239375
ALL,37,WORK,1469.34031916667
ALL,38,COMMUTE,1684.19151328094
ALL,38,ESCORT,309.962736875
ALL,38,HOME,9839.49769958331
ALL,38,MEAL,955.848125208333
ALL,38,OTHER,0
ALL,38,SCHOOL,60.1506770833333
ALL,38,SHOP,690.062343541667
ALL,38,SOC AND REC,1539.277359375
ALL,38,WORK,1153.2773625
ALL,39,COMMUTE,1205.47326665059
ALL,39,ESCORT,223.889685833333
ALL,39,HOME,9429.29516166667
ALL,39,MEAL,638.919992916667
ALL,39,OTHER,0
ALL,39,SCHOOL,47.0305039583333
ALL,39,SHOP,479.240687916667
ALL,39,SOC AND REC,900.232001041667
ALL,39,WORK,913.005421875
ALL,40,COMMUTE,829.223249648779
ALL,40,ESCORT,210.799732083333
ALL,40,HOME,8920.75421895834
ALL,40,MEAL,370.30937875
ALL,40,OTHER,0
ALL,40,SCHOOL,10.0276420833333
ALL,40,SHOP,435.390176666667
ALL,40,SOC AND REC,615.924725833333
ALL,40,WORK,728.4104875
ALL,41,COMMUTE,662.178022009297
ALL,41,ESCORT,197.094306041667
ALL,41,HOME,9034.25365291666
ALL,41,MEAL,173.170707291667
ALL,41,OTHER,0
ALL,41,SCHOOL,8.21276125
ALL,41,SHOP,362.916001875
ALL,41,SOC AND REC,498.213941041666
ALL,41,WORK,525.127605833334
ALL,42,COMMUTE,505.209493036983
ALL,42,ESCORT,147.650844375
ALL,42,HOME,8719.72460979167
ALL,42,MEAL,141.229733333333
ALL,42,OTHER,0
ALL,42,SCHOOL,8.21276125
ALL,42,SHOP,286.999766875
ALL,42,SOC AND REC,373.46329125
