ZONE,COUNTY,MODE,TRIPS
149,Hillsborough County,TRANSIT,2142.8
151,Hillsborough County,AUTO,6728.35
152,Hillsborough County,AUTO,202.72
153,Hillsborough County,AUTO,3236.95
153,Hillsborough County,TRANSIT,58.56
153,Hillsborough County,WALK,41.43
154,Hillsborough County,AUTO,741.7
155,Hillsborough County,AUTO,7073.2
155,Hillsborough County,BIKE,656.12
155,Hillsborough County,WALK,2765.17
156,Hillsborough County,AUTO,5663.34
156,Hillsborough County,OTHER,115.49
157,Hillsborough County,AUTO,4250.92
157,Hillsborough County,OTHER,123.97
157,Hillsborough County,SHUTTLE VANPOOL,9.14
157,Hillsborough County,TRANSIT,268.96
158,Hillsborough County,AUTO,961.89
158,Hillsborough County,BIKE,857.69
158,Hillsborough County,WALK,972.93
159,Hillsborough County,AUTO,361.15
160,Hillsborough County,AUTO,2594.38
161,Hillsborough County,AUTO,6653.27
161,Hillsborough County,WALK,3.72
162,Hillsborough County,AUTO,10569.98
162,Hillsborough County,WALK,7548.15
163,Hillsborough County,AUTO,13954.94
163,Hillsborough County,BIKE,656.12
163,Hillsborough County,WALK,347.16
164,Hillsborough County,AUTO,15981.76
164,Hillsborough County,BIKE,1038.78
164,Hillsborough County,WALK,2687.86
165,Hillsborough County,AUTO,31801.01
165,Hillsborough County,WALK,972.93
166,Hillsborough County,AUTO,7340.21
167,Hillsborough County,AUTO,11315
167,Hillsborough County,WALK,125.74
168,Hillsborough County,AUTO,14027.98
168,Hillsborough County,OTHER,123.97
168,Hillsborough County,WALK,3.72
169,Hillsborough County,AUTO,831.47
169,Hillsborough County,WALK,325.95
170,Hillsborough County,AUTO,9175.66
171,Hillsborough County,AUTO,11259.23
171,Hillsborough County,WALK,3655.98
172,Hillsborough County,AUTO,2822.08
172,Hillsborough County,TNC,312.31
173,Hillsborough County,AUTO,4188.41
173,Hillsborough County,SCHOOL BUS,3785.84
174,Hillsborough County,AUTO,2784.32
175,Hillsborough County,AUTO,79.46
176,Hillsborough County,AUTO,12077.51
177,Hillsborough County,AUTO,50.69
178,Hillsborough County,AUTO,689.65
178,Hillsborough County,WALK,2035.55
179,Hillsborough County,AUTO,2748.16
179,Hillsborough County,TRANSIT,88.78
179,Hillsborough County,WALK,2353.2
180,Hillsborough County,AUTO,6.09
180,Hillsborough County,SCHOOL BUS,1612.51
180,Hillsborough County,WALK,53.33
181,Hillsborough County,AUTO,11103.69
181,Hillsborough County,WALK,2353.2
182,Hillsborough County,AUTO,718.54
183,Hillsborough County,AUTO,3876.43
183,Hillsborough County,WALK,125.28
184,Hillsborough County,AUTO,5136.53
184,Hillsborough County,BIKE,122.28
184,Hillsborough County,TRANSIT,136.39
184,Hillsborough County,WALK,612.79
185,Hillsborough County,AUTO,5883.15
185,Hillsborough County,WALK,136.42
186,Hillsborough County,AUTO,1207.46
186,Hillsborough County,WALK,3864.75
187,Hillsborough County,AUTO,1154.34
187,Hillsborough County,TRANSIT,2476.92
188,Hillsborough County,AUTO,2373.85
190,Hillsborough County,AUTO,151.43
190,Hillsborough County,TRANSIT,686.53
191,Hillsborough County,AUTO,3113.76
191,Hillsborough County,WALK,6215.28
192,Hillsborough County,AUTO,1127.11
193,Hillsborough County,AUTO,2038.68
193,Hillsborough County,TRANSIT,1806.74
193,Hillsborough County,WALK,537.93
194,Hillsborough County,AUTO,27599.09
194,Hillsborough County,WALK,12859.29
195,Hillsborough County,AUTO,7533.61
196,Hillsborough County,AUTO,8704.2
196,Hillsborough County,WALK,893.84
197,Hillsborough County,AUTO,1203.53
197,Hillsborough County,TRANSIT,207.83
198,Hillsborough County,AUTO,2558.6
198,Hillsborough County,WALK,4256.29
199,Hillsborough County,AUTO,3145.74
200,Hillsborough County,AUTO,1292.98
200,Hillsborough County,WALK,218.4
201,Hillsborough County,AUTO,2954.48
201,Hillsborough County,TRANSIT,3522.98
201,Hillsborough County,WALK,3864.75
202,Hillsborough County,AUTO,5320.9
202,Hillsborough County,TRANSIT,6.16
202,Hillsborough County,WALK,39.53
203,Hillsborough County,AUTO,320.5
204,Hillsborough County,AUTO,5091.64
204,Hillsborough County,TRANSIT,2425.57
204,Hillsborough County,WALK,5675.38
205,Hillsborough County,AUTO,248.11
205,Hillsborough County,TRANSIT,18.48
206,Hillsborough County,AUTO,39.73
207,Hillsborough County,AUTO,119.19
208,Hillsborough County,AUTO,291.58
209,Hillsborough County,AUTO,4438.17
209,Hillsborough County,BIKE,2803.55
209,Hillsborough County,TRANSIT,1075.85
