FROM,TO,TRIPS
Hillsborough,Tyrone Square Area,156.42
Manatee Spur,Clearwater Dwntwn,0
Manatee Spur,Clearwater Mall,0
Manatee Spur,Countryside Mall,0
Manatee Spur,Dwntwn USF Albert Whitted Airport,0
Manatee Spur,External,0
Manatee Spur,Gateway Area,0
Manatee Spur,Grand Central Area,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,Hillsborough,0
Manatee Spur,Manatee Spur,0
Manatee Spur,Mid-Cnty Ind Area,0
Manatee Spur,Oldsmar Ind Area,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas Beaches,0
Manatee Spur,Pinellas Central,0
Manatee Spur,Pinellas North,0
Manatee Spur,Pinellas North Central,0
Manatee Spur,Pinellas South,0
Manatee Spur,St Petersburg Clearwater Area,0
Manatee Spur,Tarpon Springs Area,0
Manatee Spur,Tyrone Square Area,0
Mid-Cnty Ind Area,Clearwater Dwntwn,192.28
Mid-Cnty Ind Area,Clearwater Mall,537.45
Mid-Cnty Ind Area,Countryside Mall,0
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,5788.24
Mid-Cnty Ind Area,External,0
Mid-Cnty Ind Area,Gateway Area,3542.91
Mid-Cnty Ind Area,Grand Central Area,0
Mid-Cnty Ind Area,Hernando  Citrus,40.25
Mid-Cnty Ind Area,Hillsborough,7671.28
Mid-Cnty Ind Area,Manatee Spur,0
Mid-Cnty Ind Area,Mid-Cnty Ind Area,10074.6
Mid-Cnty Ind Area,Oldsmar Ind Area,0
Mid-Cnty Ind Area,Pasco,2022.43
Mid-Cnty Ind Area,Pinellas Beaches,346.74
Mid-Cnty Ind Area,Pinellas Central,34550.62
Mid-Cnty Ind Area,Pinellas North,2478.87
Mid-Cnty Ind Area,Pinellas North Central,11377.08
Mid-Cnty Ind Area,Pinellas South,20965.29
Mid-Cnty Ind Area,St Petersburg Clearwater Area,5.62
Mid-Cnty Ind Area,Tarpon Springs Area,0
Mid-Cnty Ind Area,Tyrone Square Area,0
Oldsmar Ind Area,Clearwater Dwntwn,0
Oldsmar Ind Area,Clearwater Mall,0
Oldsmar Ind Area,Countryside Mall,0
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,0
Oldsmar Ind Area,External,0
Oldsmar Ind Area,Gateway Area,0
Oldsmar Ind Area,Grand Central Area,0
Oldsmar Ind Area,Hernando  Citrus,98.37
Oldsmar Ind Area,Hillsborough,19666.71
Oldsmar Ind Area,Manatee Spur,0
Oldsmar Ind Area,Mid-Cnty Ind Area,0
Oldsmar Ind Area,Oldsmar Ind Area,3333.86
Oldsmar Ind Area,Pasco,8620.19
Oldsmar Ind Area,Pinellas Beaches,0
Oldsmar Ind Area,Pinellas Central,142.27
Oldsmar Ind Area,Pinellas North,4383.64
Oldsmar Ind Area,Pinellas North Central,10631.3
Oldsmar Ind Area,Pinellas South,0
Oldsmar Ind Area,St Petersburg Clearwater Area,0
Oldsmar Ind Area,Tarpon Springs Area,0
Oldsmar Ind Area,Tyrone Square Area,0
Pasco,Clearwater Dwntwn,569.04
Pasco,Clearwater Mall,141.42
Pasco,Countryside Mall,98.27
Pasco,Dwntwn USF Albert Whitted Airport,0
Pasco,External,0
Pasco,Gateway Area,149.75
Pasco,Grand Central Area,0
Pasco,Hernando  Citrus,0
Pasco,Hillsborough,0
Pasco,Manatee Spur,0
Pasco,Mid-Cnty Ind Area,2552.14
Pasco,Oldsmar Ind Area,6714.59
Pasco,Pasco,0
Pasco,Pinellas Beaches,4043.71
Pasco,Pinellas Central,1094.86
Pasco,Pinellas North,46884.06
Pasco,Pinellas North Central,42342.7
Pasco,Pinellas South,1331.84
Pasco,St Petersburg Clearwater Area,0
Pasco,Tarpon Springs Area,20.84
Pasco,Tyrone Square Area,0
Pinellas Beaches,Clearwater Dwntwn,780.13
Pinellas Beaches,Clearwater Mall,0
Pinellas Beaches,Countryside Mall,0
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,2331.19
Pinellas Beaches,External,511.82
Pinellas Beaches,Gateway Area,0
Pinellas Beaches,Grand Central Area,39.75
Pinellas Beaches,Hernando  Citrus,0
Pinellas Beaches,Hillsborough,10269.84
Pinellas Beaches,Manatee Spur,546.64
Pinellas Beaches,Mid-Cnty Ind Area,1658.74
Pinellas Beaches,Oldsmar Ind Area,0
Pinellas Beaches,Pasco,2349.04
Pinellas Beaches,Pinellas Beaches,22513.2
Pinellas Beaches,Pinellas Central,13595.76
Pinellas Beaches,Pinellas North,43.12
Pinellas Beaches,Pinellas North Central,4348.49
Pinellas Beaches,Pinellas South,20838.54
Pinellas Beaches,St Petersburg Clearwater Area,0
Pinellas Beaches,Tarpon Springs Area,18.28
Pinellas Beaches,Tyrone Square Area,495.76
Pinellas Central,Clearwater Dwntwn,3722.87
Pinellas Central,Clearwater Mall,2605.44
Pinellas Central,Countryside Mall,0
Pinellas Central,Dwntwn USF Albert Whitted Airport,5911.94
Pinellas Central,External,3366.8
Pinellas Central,Gateway Area,12963.74
Pinellas Central,Grand Central Area,0
Pinellas Central,Hernando  Citrus,79.11
Pinellas Central,Hillsborough,30516.87
Pinellas Central,Manatee Spur,0
Pinellas Central,Mid-Cnty Ind Area,43358.31
Pinellas Central,Oldsmar Ind Area,142.27
Pinellas Central,Pasco,824.71
Pinellas Central,Pinellas Beaches,21646.33
Pinellas Central,Pinellas Central,496662.85
Pinellas Central,Pinellas North,6246.61
Pinellas Central,Pinellas North Central,74081.41
Pinellas Central,Pinellas South,53284.66
Pinellas Central,St Petersburg Clearwater Area,809.65
Pinellas Central,Tarpon Springs Area,0
Pinellas Central,Tyrone Square Area,2046.64
Pinellas North,Clearwater Dwntwn,772.38
Pinellas North,Clearwater Mall,149.95
Pinellas North,Countryside Mall,251.7
Pinellas North,Dwntwn USF Albert Whitted Airport,360.06
Pinellas North,External,4053.98
Pinellas North,Gateway Area,893.5
Pinellas North,Grand Central Area,0
Pinellas North,Hernando  Citrus,159.67
Pinellas North,Hillsborough,20683.49
Pinellas North,Manatee Spur,0
Pinellas North,Mid-Cnty Ind Area,3602.14
Pinellas North,Oldsmar Ind Area,9865.24
Pinellas North,Pasco,41507.54
Pinellas North,Pinellas Beaches,881.38
Pinellas North,Pinellas Central,9178.49
Pinellas North,Pinellas North,244458.47
Pinellas North,Pinellas North Central,79240.89
Pinellas North,Pinellas South,2848.8
Pinellas North,St Petersburg Clearwater Area,4662
Pinellas North,Tarpon Springs Area,727.02
Pinellas North,Tyrone Square Area,0
Pinellas North Central,Clearwater Dwntwn,24437
Pinellas North Central,Clearwater Mall,14288
Pinellas North Central,Countryside Mall,9216.85
Pinellas North Central,Dwntwn USF Albert Whitted Airport,17417.17
Pinellas North Central,External,2901.87
Pinellas North Central,Gateway Area,3173.17
Pinellas North Central,Grand Central Area,0
Pinellas North Central,Hernando  Citrus,819.8
Pinellas North Central,Hillsborough,70453.9
Pinellas North Central,Manatee Spur,0
Pinellas North Central,Mid-Cnty Ind Area,12794.85
Pinellas North Central,Oldsmar Ind Area,7904.51
Pinellas North Central,Pasco,23757.27
Pinellas North Central,Pinellas Beaches,4119.42
Pinellas North Central,Pinellas Central,82983.6
Pinellas North Central,Pinellas North,74213.65
Pinellas North Central,Pinellas North Central,764130.02
Pinellas North Central,Pinellas South,32051.86
Pinellas North Central,St Petersburg Clearwater Area,6.33
