FROM,TO,TRIPS
USF  Hosp  Busch,CZ2,98.55
USF  Hosp  Busch,CZ4,1801.82
USF  Hosp  Busch,Citrus Park,0
USF  Hosp  Busch,Downtown,4297.51
USF  Hosp  Busch,East Town,951.36
USF  Hosp  Busch,External,151
USF  Hosp  Busch,Gibsonton,98.14
USF  Hosp  Busch,Harney Canal,1599.94
USF  Hosp  Busch,Hernando  Citrus,3531.02
USF  Hosp  Busch,MacDill AFB,0
USF  Hosp  Busch,Manatee Spur,0
USF  Hosp  Busch,NE Hilsborough,19693.97
USF  Hosp  Busch,NW Hilsborough,10317.58
USF  Hosp  Busch,New Tampa,2290.37
USF  Hosp  Busch,Pasco,5100.9
USF  Hosp  Busch,Pinellas,9534.39
USF  Hosp  Busch,Plant City Area,0
USF  Hosp  Busch,Port of Tampa  50th St Corridor,0
USF  Hosp  Busch,SE Hillsborough,5934.28
USF  Hosp  Busch,SW Hillsborough,10336.74
USF  Hosp  Busch,TPA  Anderson Rd,112.93
USF  Hosp  Busch,Tampa Central,89696.44
USF  Hosp  Busch,USF  Hosp  Busch,153537.85
USF  Hosp  Busch,West Brandon,752.39
USF  Hosp  Busch,Westshore  Rocky Point,1065.94
West Brandon,Apollo Beach  Ruskin,2795.12
West Brandon,CZ2,932.68
West Brandon,CZ4,3182.74
West Brandon,Citrus Park,0
West Brandon,Downtown,727.27
West Brandon,East Town,8517.99
West Brandon,External,437.15
West Brandon,Gibsonton,13418.97
West Brandon,Harney Canal,1245.8
West Brandon,Hernando  Citrus,0
West Brandon,MacDill AFB,1640.38
West Brandon,Manatee Spur,0
West Brandon,NE Hilsborough,14612.62
West Brandon,NW Hilsborough,852.16
West Brandon,New Tampa,0
West Brandon,Pasco,1234.07
West Brandon,Pinellas,1414.4
West Brandon,Plant City Area,0
West Brandon,Port of Tampa  50th St Corridor,230.37
West Brandon,SE Hillsborough,59421.25
West Brandon,SW Hillsborough,1878.64
West Brandon,TPA  Anderson Rd,37.9
West Brandon,Tampa Central,6595.47
West Brandon,USF  Hosp  Busch,359.62
West Brandon,West Brandon,25772.48
West Brandon,Westshore  Rocky Point,3646.48
Westshore  Rocky Point,Apollo Beach  Ruskin,158.1
Westshore  Rocky Point,CZ2,183.88
Westshore  Rocky Point,CZ4,1381.24
Westshore  Rocky Point,Citrus Park,1503.66
Westshore  Rocky Point,Downtown,14118.54
Westshore  Rocky Point,East Town,1564.45
Westshore  Rocky Point,External,1106.73
Westshore  Rocky Point,Gibsonton,1031.03
Westshore  Rocky Point,Harney Canal,252.16
Westshore  Rocky Point,Hernando  Citrus,749.37
Westshore  Rocky Point,MacDill AFB,9.14
Westshore  Rocky Point,Manatee Spur,0
Westshore  Rocky Point,NE Hilsborough,191.24
Westshore  Rocky Point,NW Hilsborough,17996.96
Westshore  Rocky Point,New Tampa,1899.74
Westshore  Rocky Point,Pasco,12170.75
Westshore  Rocky Point,Pinellas,15674.84
Westshore  Rocky Point,Plant City Area,0
Westshore  Rocky Point,Port of Tampa  50th St Corridor,1444.29
Westshore  Rocky Point,SE Hillsborough,8001.29
Westshore  Rocky Point,SW Hillsborough,17586.94
Westshore  Rocky Point,TPA  Anderson Rd,23547.06
Westshore  Rocky Point,Tampa Central,19902.16
Westshore  Rocky Point,USF  Hosp  Busch,244.81
Westshore  Rocky Point,West Brandon,2816.44
Westshore  Rocky Point,Westshore  Rocky Point,43855.78
