ZONE,COUNTY,PERSON GROUP,QUANTITY
207,Davidson,VISITORS,67.49
208,Davidson,RESIDENTS,5189.87
208,Davidson,VISITORS,129.55
209,Davidson,RESIDENTS,2080.61
209,Davidson,VISITORS,249.65
210,Davidson,RESIDENTS,409.01
210,Davidson,VISITORS,24.58
211,Davidson,RESIDENTS,335.71
211,Davidson,VISITORS,4.43
212,Davidson,RESIDENTS,1943.11
212,Davidson,VISITORS,136.86
213,Davidson,RESIDENTS,1232.59
213,Davidson,VISITORS,128.15
214,Davidson,RESIDENTS,2024.27
214,Davidson,VISITORS,12.45
215,Davidson,RESIDENTS,1947.22
215,Davidson,VISITORS,103.5
216,Davidson,RESIDENTS,865.38
216,Davidson,VISITORS,15.16
217,Davidson,RESIDENTS,2864.84
217,Davidson,VISITORS,153.59
218,Davidson,RESIDENTS,4771.73
218,Davidson,VISITORS,180.01
219,Davidson,RESIDENTS,4708.04
219,Davidson,VISITORS,213.87
220,Davidson,RESIDENTS,1684.09
220,Davidson,VISITORS,143.3
221,Davidson,RESIDENTS,1137.83
221,Davidson,VISITORS,69.73
222,Davidson,RESIDENTS,1311.74
222,Davidson,VISITORS,43.07
223,Davidson,RESIDENTS,1440.3
223,Davidson,VISITORS,26.15
224,Davidson,RESIDENTS,237.23
224,Davidson,VISITORS,2.06
225,Davidson,RESIDENTS,4910.11
225,Davidson,VISITORS,164.5
226,Davidson,RESIDENTS,11006.55
226,Davidson,VISITORS,571.95
227,Davidson,RESIDENTS,269.87
227,Davidson,VISITORS,48.31
228,Davidson,RESIDENTS,659.07
228,Davidson,VISITORS,76.87
229,Davidson,RESIDENTS,1414.41
229,Davidson,VISITORS,53.72
230,Davidson,RESIDENTS,3884.36
230,Davidson,VISITORS,322.1
231,Davidson,RESIDENTS,4534.71
231,Davidson,VISITORS,295.92
232,Davidson,RESIDENTS,2988.46
232,Davidson,VISITORS,301.31
233,Davidson,RESIDENTS,6800.49
233,Davidson,VISITORS,353.15
234,Davidson,RESIDENTS,1643.78
234,Davidson,VISITORS,113.84
235,Davidson,RESIDENTS,1354.53
235,Davidson,VISITORS,51.8
236,Davidson,RESIDENTS,434.32
236,Davidson,VISITORS,10.16
237,Davidson,RESIDENTS,3574.66
237,Davidson,VISITORS,177.89
238,Davidson,RESIDENTS,227.76
238,Davidson,VISITORS,24.08
239,Davidson,RESIDENTS,2618.91
239,Davidson,VISITORS,118.01
240,Davidson,RESIDENTS,4598.74
240,Davidson,VISITORS,237.35
241,Davidson,RESIDENTS,5179.19
241,Davidson,VISITORS,304.94
242,Davidson,RESIDENTS,2112.91
242,Davidson,VISITORS,100.99
243,Davidson,RESIDENTS,2484.69
243,Davidson,VISITORS,131.52
244,Davidson,RESIDENTS,4033.47
244,Davidson,VISITORS,237.09
245,Davidson,RESIDENTS,4670.1
245,Davidson,VISITORS,225.31
246,Davidson,RESIDENTS,5772.93
246,Davidson,VISITORS,273.03
247,Davidson,RESIDENTS,87.15
247,Davidson,VISITORS,0
248,Davidson,RESIDENTS,1349.72
248,Davidson,VISITORS,138.64
249,Davidson,RESIDENTS,1859.2
249,Davidson,VISITORS,128.54
250,Davidson,RESIDENTS,1960.37
250,Davidson,VISITORS,125.31
251,Davidson,RESIDENTS,2775.42
251,Davidson,VISITORS,229.55
252,Davidson,RESIDENTS,3245.97
